"node_id","id","name","forte","bit","bit_reverse","pitch_set","interval_cycle","interval_vector","orientation","chirality","role","fine_role","identity_category","identity_type","tier","tier_number","office","office_index","has_governor_seat","office_authority","anchor_mechanism","assignment_status","resolution_class","universal_classification","governing_parent_count","construction_parent_count","seat_contact_count","identity_evidence_contact_count","identity_evidence_office_counts_json","identity_evidence_tier_counts_json","relational_office","plurality_contact_office","contact_count","contact_office_counts_json","contact_tier_counts_json","office_basis","registered_before_completion","added_by_completion"
"scale:501","501","Major Locrian 6♭7","7-9","b101011111000","b000111110101","{0,2,4,5,6,7,8}","2-2-1-1-1-1-4","4,5,3,4,3,2","7-9 orientation B","chiral","boundary","oriented_convergence","BOUNDARY","oriented_convergence",,,,,false,"relational_evidence_only",,"unassigned","validated_oriented_convergence_office_withheld","oriented_convergence","0","0","0",,,,"Mars",,"2","{""Mars"":2}","{""D5"":2}","At least two independent established satellite contacts agree on one relational office; chirality prevents anchor promotion and categorical office remains withheld.",true,false
"scale:505","505","7-3 rooted state 505","7-3","b100111111000","b000111111001","{0,3,4,5,6,7,8}","3-1-1-1-1-1-4","5,4,4,4,3,1","7-3 orientation B","chiral","boundary","oriented_convergence","BOUNDARY","oriented_convergence",,,,,false,"relational_evidence_only",,"unassigned","validated_oriented_convergence_office_withheld","oriented_convergence","0","0","0",,,,"Jupiter",,"2","{""Jupiter"":2}","{""D5"":1,""D6"":1}","At least two independent established satellite contacts agree on one relational office; chirality prevents anchor promotion and categorical office remains withheld.",false,true
"scale:575","575","Scale 575","7-3","b111111000100","b001000111111","{0,1,2,3,4,5,9}","1-1-1-1-1-4-3","5,4,4,4,3,1","7-3 orientation B","chiral","boundary","oriented_convergence","BOUNDARY","oriented_convergence",,,,,false,"relational_evidence_only",,"unassigned","validated_oriented_convergence_office_withheld","oriented_convergence","0","0","0",,,,"Saturn",,"2","{""Saturn"":2}","{""D5"":1,""D6"":1}","At least two independent established satellite contacts agree on one relational office; chirality prevents anchor promotion and categorical office remains withheld.",true,false
"scale:607","607","Infra-Alt 56","7-10","b111110100100","b001001011111","{0,1,2,3,4,6,9}","1-1-1-1-2-3-3","4,4,5,3,3,2","7-10 orientation A","chiral","satellite","satellite_D5","SATELLITE","direct_satellite","D5","5","Saturn","6",true,"inherited_unique_parent",,"inherited","D5_direct_satellite","d5_satellite","1","0","1",,,,,,,,,"direct eligible relation to 7-Z12 D5 anchor 671; earlier precedence preserved",true,false
"scale:623","623","Infra-Alt 6","7-16","b111101100100","b001001101111","{0,1,2,3,5,6,9}","1-1-1-2-1-3-3","4,3,5,4,3,2","7-16 orientation A","chiral","satellite","satellite_D4","SATELLITE","direct_satellite","D4","4","Venus","5",true,"inherited_unique_parent",,"inherited","D4_direct_satellite","d4_satellite","1","0","0",,,,,,,,,"direct eligible relation to 7-Z17 D4 anchor 631; earlier precedence preserved",true,false
"scale:631","631","Infra-Alt 6♭4","7-Z17","b111011100100","b001001110111","{0,1,2,4,5,6,9}","1-1-2-1-1-3-3","4,3,4,5,4,1","7-Z17 single orientation","achiral","anchor","anchor_D4","D","same_office_convergence_anchor","D4","4","Venus","5",true,"declared_contact_signature","satellite_mediated_same_office_convergence","validated","validated_D4_anchor","d4_anchor","0","0","2","2","{""Venus"":2}","{""A1"":2}",,,,,,"7-Z17 same-office convergence from two established A1 satellite contacts",true,false
"scale:635","635","Scale 635","7-16","b110111100100","b001001111011","{0,1,3,4,5,6,9}","1-2-1-1-1-3-3","4,3,5,4,3,2","7-16 orientation B","chiral","satellite","satellite_D4","SATELLITE","direct_satellite","D4","4","Venus","5",true,"inherited_unique_parent",,"inherited","D4_direct_satellite","d4_satellite","1","0","0",,,,,,,,,"direct eligible relation to 7-Z17 D4 anchor 631; earlier precedence preserved",true,false
"scale:637","637","Debussy's Heptatonic","7-10","b101111100100","b001001111101","{0,2,3,4,5,6,9}","2-1-1-1-1-3-3","4,4,5,3,3,2","7-10 orientation B","chiral","satellite","satellite_D5","SATELLITE","direct_satellite","D5","5","Jupiter","4",true,"inherited_unique_parent",,"inherited","D5_direct_satellite","d5_satellite","1","0","1",,,,,,,,,"direct eligible relation to 7-Z12 D5 anchor 1273; earlier precedence preserved",true,false
"scale:671","671","Infra-Alt 5","7-Z12","b111110010100","b001010011111","{0,1,2,3,4,7,9}","1-1-1-1-3-2-3","4,4,4,3,4,2","7-Z12 single orientation","achiral","anchor","anchor_D5","D","same_office_convergence_anchor","D5","5","Saturn","6",true,"declared_contact_signature","satellite_mediated_same_office_convergence","validated","validated_D5_anchor","d5_anchor","0","0","2","2","{""Saturn"":2}","{""A2"":2}",,,,,,"7-Z12 same-office convergence from two established A2 satellite contacts",true,false
"scale:687","687","Alt ♭♭3♭♭4♭♭5♭♭6♭♭7","7-24","b111101010100","b001010101111","{0,1,2,3,5,7,9}","1-1-1-2-2-2-3","3,5,3,4,4,2","7-24 orientation A","chiral","satellite","satellite_A2","SATELLITE","direct_satellite","A2","2","Saturn","6",true,"inherited_unique_parent",,"inherited","A2_direct_satellite","a2_satellite","1","0","1",,,,,,,,,"unique eligible parent at governing tier",true,false
"scale:695","695","Phrygian Double-Flat","7-27","b111011010100","b001010110111","{0,1,2,4,5,7,9}","1-1-2-1-2-2-3","3,4,4,4,5,1","7-27 orientation A","chiral","satellite","satellite_A1","SATELLITE","direct_satellite","A1","1","Venus","5",true,"inherited_unique_parent",,"inherited","A1_direct_satellite","a1_satellite","1","0","1",,,,,,,,,"unique eligible parent at governing tier",true,false
"scale:699","699","Ultralocrian 5","7-26","b110111010100","b001010111011","{0,1,3,4,5,7,9}","1-2-1-1-2-2-3","3,4,4,5,3,2","7-26 orientation A","chiral","satellite","satellite_A2","SATELLITE","direct_satellite","A2","2","Jupiter","4",true,"inherited_unique_parent",,"inherited","A2_direct_satellite","a2_satellite","1","0","1",,,,,,,,,"unique eligible parent at governing tier",true,false
"scale:701","701","Alt ♮2♭♭567","7-23","b101111010100","b001010111101","{0,2,3,4,5,7,9}","2-1-1-1-2-2-3","3,5,4,3,5,1","7-23 orientation A","chiral","boundary","oriented_convergence","BOUNDARY","oriented_convergence",,,,,false,"relational_evidence_only",,"unassigned","validated_oriented_convergence_office_withheld","oriented_convergence","0","0","0",,,,"Jupiter",,"4","{""Jupiter"":4}","{""A2"":2,""D3"":1,""D5"":1}","At least two independent established satellite contacts agree on one relational office; chirality prevents anchor promotion and categorical office remains withheld.",true,false
"scale:719","719","1MI & 2Δ7","7-19","b111100110100","b001011001111","{0,1,2,3,6,7,9}","1-1-1-3-1-2-3","4,3,4,3,4,3","7-19 orientation A","chiral","boundary","office_junction","BOUNDARY","office_junction",,,,,false,"relational_evidence_only",,"unassigned","validated_multi_office_junction","office_junction","0","0","0",,,,,"Jupiter","4","{""Jupiter"":3,""Saturn"":1}","{""A0"":2,""A2"":1,""D2"":1}","Established satellite contacts form a stable multi-office vector; no deterministic tie-resolution operator is declared.",true,false
"scale:727","727","Triadic Heptatonic 29","7-29","b111010110100","b001011010111","{0,1,2,4,6,7,9}","1-1-2-2-1-2-3","3,4,4,3,5,2","7-29 orientation A","chiral","satellite","satellite_A0","SATELLITE","direct_satellite","A0","0","Jupiter","4",true,"inherited_unique_parent",,"inherited","A0_direct_satellite","a0_satellite","1","0","1",,,,,,,,,"unique eligible parent at governing tier",true,false
"scale:731","731","Alternating Heptamode","7-31","b110110110100","b001011011011","{0,1,3,4,6,7,9}","1-2-1-2-1-2-3","3,3,6,3,3,3","7-31 orientation A","chiral","satellite","satellite_A1","SATELLITE","direct_satellite","A1","1","Mercury","3",true,"inherited_unique_parent",,"inherited","A1_direct_satellite","a1_satellite","1","0","0",,,,,,,,,"unique eligible parent at governing tier",true,false
"scale:733","733","Superlocrian ♮2♭♭6♭♭7","7-25","b101110110100","b001011011101","{0,2,3,4,6,7,9}","2-1-1-2-1-2-3","3,4,5,3,4,2","7-25 orientation A","chiral","boundary","office_junction","BOUNDARY","office_junction",,,,,false,"relational_evidence_only",,"unassigned","validated_multi_office_junction","office_junction","0","0","0",,,,,"Mercury","5","{""Mercury"":3,""Saturn"":2}","{""A1"":2,""A2"":2,""D4"":1}","Established satellite contacts form a stable multi-office vector; no deterministic tie-resolution operator is declared.",true,false
"scale:743","743","Phrygian Hungarian Minor","7-20","b111001110100","b001011100111","{0,1,2,5,6,7,9}","1-1-3-1-1-2-3","4,3,3,4,5,2","7-20 orientation A","chiral","satellite","satellite_D1","SATELLITE","direct_satellite","D1","1","Moon","1",true,"inherited_unique_parent",,"inherited","D1_direct_satellite","d1_satellite","1","0","0",,,,,,,,,"direct eligible relation to 7-22 D1 anchor 871; A0–A2 precedence preserved",true,false
"scale:747","747","1sus4 & ♭3∅7","7-28","b110101110100","b001011101011","{0,1,3,5,6,7,9}","1-2-2-1-1-2-3","3,4,4,4,3,3","7-28 orientation A","chiral","satellite","satellite_A2","SATELLITE","direct_satellite","A2","2","Mars","2",true,"inherited_unique_parent",,"inherited","A2_direct_satellite","a2_satellite","1","0","0",,,,,,,,,"unique eligible parent at governing tier",true,false
"scale:749","749","Locrian ♮2♭♭6♭♭7","7-25","b101101110100","b001011101101","{0,2,3,5,6,7,9}","2-1-2-1-1-2-3","3,4,5,3,4,2","7-25 orientation B","chiral","boundary","office_junction","BOUNDARY","office_junction",,,,,false,"relational_evidence_only",,"unassigned","validated_multi_office_junction","office_junction","0","0","0",,,,,"Venus","5","{""Mars"":2,""Venus"":3}","{""A1"":2,""A2"":2,""D4"":1}","Established satellite contacts form a stable multi-office vector; no deterministic tie-resolution operator is declared.",true,false
"scale:755","755","Ionian ♭2♭5𝄫6𝄫7","7-Z18","b110011110100","b001011110011","{0,1,4,5,6,7,9}","1-3-1-1-1-2-3","4,3,4,4,4,2","7-Z18 orientation A","chiral","boundary","oriented_convergence","BOUNDARY","oriented_convergence",,,,,false,"relational_evidence_only",,"unassigned","validated_oriented_convergence_office_withheld","oriented_convergence","0","0","0",,,,"Mars",,"3","{""Mars"":3}","{""A2"":2,""D5"":1}","At least two independent established satellite contacts agree on one relational office; chirality prevents anchor promotion and categorical office remains withheld.",true,false
"scale:757","757","Lipsean Mode II","7-23","b101011110100","b001011110101","{0,2,4,5,6,7,9}","2-2-1-1-1-2-3","3,5,4,3,5,1","7-23 orientation B","chiral","boundary","oriented_convergence","BOUNDARY","oriented_convergence",,,,,false,"relational_evidence_only",,"unassigned","validated_oriented_convergence_office_withheld","oriented_convergence","0","0","0",,,,"Jupiter",,"4","{""Jupiter"":4}","{""A2"":2,""D3"":1,""D5"":1}","At least two independent established satellite contacts agree on one relational office; chirality prevents anchor promotion and categorical office remains withheld.",true,false
"scale:761","761","Major Locrian ♯267","7-10","b100111110100","b001011111001","{0,3,4,5,6,7,9}","3-1-1-1-1-2-3","4,4,5,3,3,2","7-10 orientation A","chiral","satellite","satellite_D5","SATELLITE","direct_satellite","D5","5","Jupiter","4",true,"inherited_unique_parent",,"inherited","D5_direct_satellite","d5_satellite","1","0","1",,,,,,,,,"direct eligible relation to 7-Z12 D5 anchor 1273; earlier precedence preserved",true,false
"scale:799","799","Infra-Alt 5♭6","7-6","b111110001100","b001100011111","{0,1,2,3,4,8,9}","1-1-1-1-4-1-3","5,3,3,4,4,2","7-6 orientation B","chiral","satellite","satellite_D5","SATELLITE","direct_satellite","D5","5","Saturn","6",true,"inherited_unique_parent",,"inherited","D5_direct_satellite","d5_satellite","1","0","0",,,,,,,,,"direct eligible relation to 7-Z12 D5 anchor 671; earlier precedence preserved",true,false
"scale:815","815","Scale 815","7-Z18","b111101001100","b001100101111","{0,1,2,3,5,8,9}","1-1-1-2-3-1-3","4,3,4,4,4,2","7-Z18 orientation A","chiral","boundary","oriented_convergence","BOUNDARY","oriented_convergence",,,,,false,"relational_evidence_only",,"unassigned","validated_oriented_convergence_office_withheld","oriented_convergence","0","0","0",,,,"Saturn",,"3","{""Saturn"":3}","{""A2"":2,""D5"":1}","At least two independent established satellite contacts agree on one relational office; chirality prevents anchor promotion and categorical office remains withheld.",true,false
"scale:823","823","Scale 823","7-21","b111011001100","b001100110111","{0,1,2,4,5,8,9}","1-1-2-1-3-1-3","4,2,4,6,4,1","7-21 orientation A","chiral","boundary","office_junction","BOUNDARY","office_junction",,,,,false,"relational_evidence_only",,"unassigned","validated_multi_office_junction","office_junction","0","0","0",,,,,"Mercury","4","{""Moon"":1,""Mercury"":2,""Venus"":1}","{""A0"":2,""A1"":1,""A2"":1}","Established satellite contacts form a stable multi-office vector; no deterministic tie-resolution operator is declared.",true,false
"scale:827","827","Scale 827","7-21","b110111001100","b001100111011","{0,1,3,4,5,8,9}","1-2-1-1-3-1-3","4,2,4,6,4,1","7-21 orientation B","chiral","boundary","office_junction","BOUNDARY","office_junction",,,,,false,"relational_evidence_only",,"unassigned","validated_multi_office_junction","office_junction","0","0","0",,,,,"Mars","4","{""Sun"":1,""Mars"":2,""Jupiter"":1}","{""A0"":2,""A1"":1,""A2"":1}","Established satellite contacts form a stable multi-office vector; no deterministic tie-resolution operator is declared.",true,false
"scale:829","829","7-Z18 rooted state 829","7-Z18","b101111001100","b001100111101","{0,2,3,4,5,8,9}","2-1-1-1-3-1-3","4,3,4,4,4,2","7-Z18 orientation B","chiral","boundary","oriented_convergence","BOUNDARY","oriented_convergence",,,,,false,"relational_evidence_only",,"unassigned","validated_oriented_convergence_office_withheld","oriented_convergence","0","0","0",,,,"Saturn",,"3","{""Saturn"":3}","{""A2"":2,""D5"":1}","At least two independent established satellite contacts agree on one relational office; chirality prevents anchor promotion and categorical office remains withheld.",false,true
"scale:847","847","Scale 847","7-19","b111100101100","b001101001111","{0,1,2,3,6,8,9}","1-1-1-3-2-1-3","4,3,4,3,4,3","7-19 orientation B","chiral","boundary","office_junction","BOUNDARY","office_junction",,,,,false,"relational_evidence_only",,"unassigned","validated_multi_office_junction","office_junction","0","0","0",,,,,"Mercury","4","{""Moon"":1,""Mercury"":3}","{""A0"":2,""A2"":1,""D2"":1}","Established satellite contacts form a stable multi-office vector; no deterministic tie-resolution operator is declared.",true,false
"scale:855","855","Ultralocrian 𝄫3","7-30","b111010101100","b001101010111","{0,1,2,4,6,8,9}","1-1-2-2-2-1-3","3,4,3,5,4,2","7-30 orientation A","chiral","satellite","satellite_A0","SATELLITE","direct_satellite","A0","0","Mercury","3",true,"inherited_unique_parent",,"inherited","A0_direct_satellite","a0_satellite","1","0","1",,,,,,,,,"unique eligible parent at governing tier",true,false
"scale:859","859","Ultralocrian","7-32","b110110101100","b001101011011","{0,1,3,4,6,8,9}","1-2-1-2-2-1-3","3,3,5,4,4,2","7-32 orientation A","chiral","satellite","satellite_A0","SATELLITE","direct_satellite","A0","0","Mars","2",true,"inherited_unique_parent",,"inherited","A0_direct_satellite","a0_satellite","1","0","1",,,,,,,,,"unique eligible parent at governing tier",true,false
