id,name,forte,orientation,chirality,bit,bitReverse,pitchSet,intervalCycle,intervalVector,maxCyclicGap,ianMainIndexAdmissible,registeredBeforeCompletion,addedByCompletion,role,fineRole,tier,office,officeIndex,universalClassification,relationalOffice,pluralityContactOffice,zPartner,sourceProvenance
3851,Phrygian +5♯4,7-2,7-2 orientation A,chiral,b110100001111,b111100001011,"{0,1,3,8,9,10,11}",1-2-5-1-1-1-1,"5,5,4,3,3,1",5,false,true,false,satellite,satellite_D6,D6,Venus,5,d6_satellite,,,,Preserved A0–D6 network state
3973,Superlydian Augmented ♮25♯34,7-2,7-2 orientation A,chiral,b101000011111,b111110000101,"{0,2,7,8,9,10,11}",2-5-1-1-1-1-1,"5,5,4,3,3,1",5,false,true,false,satellite,satellite_D6,D6,Sun,0,d6_satellite,,,,Preserved A0–D6 network state
253,Alt ♮25♭67,7-2,7-2 orientation B,chiral,b101111110000,b000011111101,"{0,2,3,4,5,6,7}",2-1-1-1-1-1-5,"5,5,4,3,3,1",5,false,true,false,satellite,satellite_D6,D6,Jupiter,4,d6_satellite,,,,Preserved A0–D6 network state
1087,Infra-Alt 5♭76,7-2,7-2 orientation B,chiral,b111111000010,b010000111111,"{0,1,2,3,4,5,10}",1-1-1-1-1-5-2,"5,5,4,3,3,1",5,false,true,false,satellite,satellite_D6,D6,Saturn,6,d6_satellite,,,,Preserved A0–D6 network state
2591,Quixotic,7-2,7-2 orientation B,chiral,b111110000101,b101000011111,"{0,1,2,3,4,9,11}",1-1-1-1-5-2-1,"5,5,4,3,3,1",5,false,true,false,satellite,satellite_D6,D6,Moon,1,d6_satellite,,,,Preserved A0–D6 network state
3343,Phrygian +34,7-2,7-2 orientation B,chiral,b111100001011,b110100001111,"{0,1,2,3,8,10,11}",1-1-1-5-2-1-1,"5,5,4,3,3,1",5,false,true,false,satellite,satellite_D6,D6,Mercury,3,d6_satellite,,,,Preserved A0–D6 network state
3719,Phrygian +𝄫3𝄪45,7-2,7-2 orientation B,chiral,b111000010111,b111010000111,"{0,1,2,7,9,10,11}",1-1-5-2-1-1-1,"5,5,4,3,3,1",5,false,true,false,satellite,satellite_D6,D6,Venus,5,d6_satellite,,,,Preserved A0–D6 network state
3907,YUTian,7-2,7-2 orientation B,chiral,b110000101111,b111101000011,"{0,1,6,8,9,10,11}",1-5-2-1-1-1-1,"5,5,4,3,3,1",5,false,true,false,satellite,satellite_D6,D6,Sun,0,d6_satellite,,,,Preserved A0–D6 network state
4001,Superlydian Augmented ♯2♯3♯45,7-2,7-2 orientation B,chiral,b100001011111,b111110100001,"{0,5,7,8,9,10,11}",5-2-1-1-1-1-1,"5,5,4,3,3,1",5,false,true,false,satellite,satellite_D6,D6,Mars,2,d6_satellite,,,,Preserved A0–D6 network state
319,7-3 rooted state 319,7-3,7-3 orientation A,chiral,b111111001000,b000100111111,"{0,1,2,3,4,5,8}",1-1-1-1-1-3-4,"5,4,4,4,3,1",4,true,false,true,boundary,oriented_convergence,,,,oriented_convergence,Jupiter,,,Independent enumeration of rooted seven-note subsets of Z12
1009,7-3 rooted state 1009,7-3,7-3 orientation A,chiral,b100011111100,b001111110001,"{0,4,5,6,7,8,9}",4-1-1-1-1-1-3,"5,4,4,4,3,1",4,true,false,true,boundary,oriented_convergence,,,,oriented_convergence,Mars,,,Independent enumeration of rooted seven-note subsets of Z12
2207,7-3 rooted state 2207,7-3,7-3 orientation A,chiral,b111110010001,b100010011111,"{0,1,2,3,4,7,11}",1-1-1-1-3-4-1,"5,4,4,4,3,1",4,true,false,true,boundary,oriented_convergence,,,,oriented_convergence,Saturn,,,Independent enumeration of rooted seven-note subsets of Z12
3151,7-3 rooted state 3151,7-3,7-3 orientation A,chiral,b111100100011,b110001001111,"{0,1,2,3,6,10,11}",1-1-1-3-4-1-1,"5,4,4,4,3,1",4,true,false,true,boundary,oriented_convergence,,,,oriented_convergence,Moon,,,Independent enumeration of rooted seven-note subsets of Z12
3623,7-3 rooted state 3623,7-3,7-3 orientation A,chiral,b111001000111,b111000100111,"{0,1,2,5,9,10,11}",1-1-3-4-1-1-1,"5,4,4,4,3,1",4,true,false,true,boundary,oriented_convergence,,,,oriented_convergence,Mercury,,,Independent enumeration of rooted seven-note subsets of Z12
3859,7-3 rooted state 3859,7-3,7-3 orientation A,chiral,b110010001111,b111100010011,"{0,1,4,8,9,10,11}",1-3-4-1-1-1-1,"5,4,4,4,3,1",4,true,false,true,boundary,oriented_convergence,,,,oriented_convergence,Venus,,,Independent enumeration of rooted seven-note subsets of Z12
3977,Scale 3977,7-3,7-3 orientation A,chiral,b100100011111,b111110001001,"{0,3,7,8,9,10,11}",3-4-1-1-1-1-1,"5,4,4,4,3,1",4,true,true,false,boundary,oriented_convergence,,,,oriented_convergence,Sun,,,Preserved A0–D6 network state
505,7-3 rooted state 505,7-3,7-3 orientation B,chiral,b100111111000,b000111111001,"{0,3,4,5,6,7,8}",3-1-1-1-1-1-4,"5,4,4,4,3,1",4,true,false,true,boundary,oriented_convergence,,,,oriented_convergence,Jupiter,,,Independent enumeration of rooted seven-note subsets of Z12
575,Scale 575,7-3,7-3 orientation B,chiral,b111111000100,b001000111111,"{0,1,2,3,4,5,9}",1-1-1-1-1-4-3,"5,4,4,4,3,1",4,true,true,false,boundary,oriented_convergence,,,,oriented_convergence,Saturn,,,Preserved A0–D6 network state
2335,7-3 rooted state 2335,7-3,7-3 orientation B,chiral,b111110001001,b100100011111,"{0,1,2,3,4,8,11}",1-1-1-1-4-3-1,"5,4,4,4,3,1",4,true,false,true,boundary,oriented_convergence,,,,oriented_convergence,Moon,,,Independent enumeration of rooted seven-note subsets of Z12
3215,7-3 rooted state 3215,7-3,7-3 orientation B,chiral,b111100010011,b110010001111,"{0,1,2,3,7,10,11}",1-1-1-4-3-1-1,"5,4,4,4,3,1",4,true,false,true,boundary,oriented_convergence,,,,oriented_convergence,Mercury,,,Independent enumeration of rooted seven-note subsets of Z12
3655,7-3 rooted state 3655,7-3,7-3 orientation B,chiral,b111000100111,b111001000111,"{0,1,2,6,9,10,11}",1-1-4-3-1-1-1,"5,4,4,4,3,1",4,true,false,true,boundary,oriented_convergence,,,,oriented_convergence,Venus,,,Independent enumeration of rooted seven-note subsets of Z12
3875,7-3 rooted state 3875,7-3,7-3 orientation B,chiral,b110001001111,b111100100011,"{0,1,5,8,9,10,11}",1-4-3-1-1-1-1,"5,4,4,4,3,1",4,true,false,true,boundary,oriented_convergence,,,,oriented_convergence,Sun,,,Independent enumeration of rooted seven-note subsets of Z12
3985,7-3 rooted state 3985,7-3,7-3 orientation B,chiral,b100010011111,b111110010001,"{0,4,7,8,9,10,11}",4-3-1-1-1-1-1,"5,4,4,4,3,1",4,true,false,true,boundary,oriented_convergence,,,,oriented_convergence,Mars,,,Independent enumeration of rooted seven-note subsets of Z12
223,Scale 223,7-4,7-4 orientation A,chiral,b111110110000,b000011011111,"{0,1,2,3,4,6,7}",1-1-1-1-2-1-5,"5,4,4,3,3,2",5,false,true,false,boundary,oriented_convergence,,,,oriented_convergence,Jupiter,,,Preserved A0–D6 network state
1987,7-4 rooted state 1987,7-4,7-4 orientation A,chiral,b110000111110,b011111000011,"{0,1,6,7,8,9,10}",1-5-1-1-1-1-2,"5,4,4,3,3,2",5,false,false,true,boundary,oriented_convergence,,,,oriented_convergence,Sun,,,Independent enumeration of rooted seven-note subsets of Z12
2159,7-4 rooted state 2159,7-4,7-4 orientation A,chiral,b111101100001,b100001101111,"{0,1,2,3,5,6,11}",1-1-1-2-1-5-1,"5,4,4,3,3,2",5,false,false,true,boundary,oriented_convergence,,,,oriented_convergence,Saturn,,,Independent enumeration of rooted seven-note subsets of Z12
3041,Scale 3041,7-4,7-4 orientation A,chiral,b100001111101,b101111100001,"{0,5,6,7,8,9,11}",5-1-1-1-1-2-1,"5,4,4,3,3,2",5,false,true,false,boundary,oriented_convergence,,,,oriented_convergence,Mars,,,Preserved A0–D6 network state
3127,7-4 rooted state 3127,7-4,7-4 orientation A,chiral,b111011000011,b110000110111,"{0,1,2,4,5,10,11}",1-1-2-1-5-1-1,"5,4,4,3,3,2",5,false,false,true,boundary,oriented_convergence,,,,oriented_convergence,Moon,,,Independent enumeration of rooted seven-note subsets of Z12
3611,7-4 rooted state 3611,7-4,7-4 orientation A,chiral,b110110000111,b111000011011,"{0,1,3,4,9,10,11}",1-2-1-5-1-1-1,"5,4,4,3,3,2",5,false,false,true,boundary,oriented_convergence,,,,oriented_convergence,Mercury,,,Independent enumeration of rooted seven-note subsets of Z12
3853,7-4 rooted state 3853,7-4,7-4 orientation A,chiral,b101100001111,b111100001101,"{0,2,3,8,9,10,11}",2-1-5-1-1-1-1,"5,4,4,3,3,2",5,false,false,true,boundary,oriented_convergence,,,,oriented_convergence,Venus,,,Independent enumeration of rooted seven-note subsets of Z12
251,Scale 251,7-4,7-4 orientation B,chiral,b110111110000,b000011111011,"{0,1,3,4,5,6,7}",1-2-1-1-1-1-5,"5,4,4,3,3,2",5,false,true,false,boundary,oriented_convergence,,,,oriented_convergence,Jupiter,,,Preserved A0–D6 network state
1567,7-4 rooted state 1567,7-4,7-4 orientation B,chiral,b111110000110,b011000011111,"{0,1,2,3,4,9,10}",1-1-1-1-5-1-2,"5,4,4,3,3,2",5,false,false,true,boundary,oriented_convergence,,,,oriented_convergence,Moon,,,Independent enumeration of rooted seven-note subsets of Z12
2173,7-4 rooted state 2173,7-4,7-4 orientation B,chiral,b101111100001,b100001111101,"{0,2,3,4,5,6,11}",2-1-1-1-1-5-1,"5,4,4,3,3,2",5,false,false,true,boundary,oriented_convergence,,,,oriented_convergence,Saturn,,,Independent enumeration of rooted seven-note subsets of Z12
2831,7-4 rooted state 2831,7-4,7-4 orientation B,chiral,b111100001101,b101100001111,"{0,1,2,3,8,9,11}",1-1-1-5-1-2-1,"5,4,4,3,3,2",5,false,false,true,boundary,oriented_convergence,,,,oriented_convergence,Mercury,,,Independent enumeration of rooted seven-note subsets of Z12
3463,7-4 rooted state 3463,7-4,7-4 orientation B,chiral,b111000011011,b110110000111,"{0,1,2,7,8,10,11}",1-1-5-1-2-1-1,"5,4,4,3,3,2",5,false,false,true,boundary,oriented_convergence,,,,oriented_convergence,Venus,,,Independent enumeration of rooted seven-note subsets of Z12
3779,7-4 rooted state 3779,7-4,7-4 orientation B,chiral,b110000110111,b111011000011,"{0,1,6,7,9,10,11}",1-5-1-2-1-1-1,"5,4,4,3,3,2",5,false,false,true,boundary,oriented_convergence,,,,oriented_convergence,Sun,,,Independent enumeration of rooted seven-note subsets of Z12
3937,Scale 3937,7-4,7-4 orientation B,chiral,b100001101111,b111101100001,"{0,5,6,8,9,10,11}",5-1-2-1-1-1-1,"5,4,4,3,3,2",5,false,true,false,boundary,oriented_convergence,,,,oriented_convergence,Mars,,,Preserved A0–D6 network state
239,Infra-Alt 6𝄫𝄫7,7-5,7-5 orientation A,chiral,b111101110000,b000011101111,"{0,1,2,3,5,6,7}",1-1-1-2-1-1-5,"5,4,3,3,4,2",5,false,true,false,boundary,peripheral_leaf,,,,peripheral_leaf,,,,Preserved A0–D6 network state
1927,7-5 rooted state 1927,7-5,7-5 orientation A,chiral,b111000011110,b011110000111,"{0,1,2,7,8,9,10}",1-1-5-1-1-1-2,"5,4,3,3,4,2",5,false,false,true,boundary,peripheral_leaf,,,,peripheral_leaf,,,,Independent enumeration of rooted seven-note subsets of Z12
2167,7-5 rooted state 2167,7-5,7-5 orientation A,chiral,b111011100001,b100001110111,"{0,1,2,4,5,6,11}",1-1-2-1-1-5-1,"5,4,3,3,4,2",5,false,false,true,boundary,peripheral_leaf,,,,peripheral_leaf,,,,Independent enumeration of rooted seven-note subsets of Z12
3011,7-5 rooted state 3011,7-5,7-5 orientation A,chiral,b110000111101,b101111000011,"{0,1,6,7,8,9,11}",1-5-1-1-1-2-1,"5,4,3,3,4,2",5,false,false,true,boundary,peripheral_leaf,,,,peripheral_leaf,,,,Independent enumeration of rooted seven-note subsets of Z12
3131,7-5 rooted state 3131,7-5,7-5 orientation A,chiral,b110111000011,b110000111011,"{0,1,3,4,5,10,11}",1-2-1-1-5-1-1,"5,4,3,3,4,2",5,false,false,true,boundary,peripheral_leaf,,,,peripheral_leaf,,,,Independent enumeration of rooted seven-note subsets of Z12
3553,Scale 3553,7-5,7-5 orientation A,chiral,b100001111011,b110111100001,"{0,5,6,7,8,10,11}",5-1-1-1-2-1-1,"5,4,3,3,4,2",5,false,true,false,boundary,peripheral_leaf,,,,peripheral_leaf,,,,Preserved A0–D6 network state
3613,7-5 rooted state 3613,7-5,7-5 orientation A,chiral,b101110000111,b111000011101,"{0,2,3,4,9,10,11}",2-1-1-5-1-1-1,"5,4,3,3,4,2",5,false,false,true,boundary,peripheral_leaf,,,,peripheral_leaf,,,,Independent enumeration of rooted seven-note subsets of Z12
247,Scale 247,7-5,7-5 orientation B,chiral,b111011110000,b000011110111,"{0,1,2,4,5,6,7}",1-1-2-1-1-1-5,"5,4,3,3,4,2",5,false,true,false,boundary,peripheral_leaf,,,,peripheral_leaf,,,,Preserved A0–D6 network state
1807,7-5 rooted state 1807,7-5,7-5 orientation B,chiral,b111100001110,b011100001111,"{0,1,2,3,8,9,10}",1-1-1-5-1-1-2,"5,4,3,3,4,2",5,false,false,true,boundary,peripheral_leaf,,,,peripheral_leaf,,,,Independent enumeration of rooted seven-note subsets of Z12
2171,7-5 rooted state 2171,7-5,7-5 orientation B,chiral,b110111100001,b100001111011,"{0,1,3,4,5,6,11}",1-2-1-1-1-5-1,"5,4,3,3,4,2",5,false,false,true,boundary,peripheral_leaf,,,,peripheral_leaf,,,,Independent enumeration of rooted seven-note subsets of Z12
2951,7-5 rooted state 2951,7-5,7-5 orientation B,chiral,b111000011101,b101110000111,"{0,1,2,7,8,9,11}",1-1-5-1-1-2-1,"5,4,3,3,4,2",5,false,false,true,boundary,peripheral_leaf,,,,peripheral_leaf,,,,Independent enumeration of rooted seven-note subsets of Z12
3133,7-5 rooted state 3133,7-5,7-5 orientation B,chiral,b101111000011,b110000111101,"{0,2,3,4,5,10,11}",2-1-1-1-5-1-1,"5,4,3,3,4,2",5,false,false,true,boundary,peripheral_leaf,,,,peripheral_leaf,,,,Independent enumeration of rooted seven-note subsets of Z12
3523,7-5 rooted state 3523,7-5,7-5 orientation B,chiral,b110000111011,b110111000011,"{0,1,6,7,8,10,11}",1-5-1-1-2-1-1,"5,4,3,3,4,2",5,false,false,true,boundary,peripheral_leaf,,,,peripheral_leaf,,,,Independent enumeration of rooted seven-note subsets of Z12
3809,Borean Mode I,7-5,7-5 orientation B,chiral,b100001110111,b111011100001,"{0,5,6,7,9,10,11}",5-1-1-2-1-1-1,"5,4,3,3,4,2",5,false,true,false,boundary,peripheral_leaf,,,,peripheral_leaf,,,,Preserved A0–D6 network state
415,Infra-Alt 57,7-6,7-6 orientation A,chiral,b111110011000,b000110011111,"{0,1,2,3,4,7,8}",1-1-1-1-3-1-4,"5,3,3,4,4,2",4,true,true,false,satellite,satellite_D5,D5,Saturn,6,d5_satellite,,,,Preserved A0–D6 network state
995,Lydian ♭2♯3♭67,7-6,7-6 orientation A,chiral,b110001111100,b001111100011,"{0,1,5,6,7,8,9}",1-4-1-1-1-1-3,"5,3,3,4,4,2",4,true,true,false,satellite,satellite_D5,D5,Mars,2,d5_satellite,,,,Preserved A0–D6 network state
2255,Alt ♮7346,7-6,7-6 orientation A,chiral,b111100110001,b100011001111,"{0,1,2,3,6,7,11}",1-1-1-3-1-4-1,"5,3,3,4,4,2",4,true,true,false,satellite,satellite_D5,D5,Moon,1,d5_satellite,,,,Preserved A0–D6 network state
2545,Lydian 2♯3♭6,7-6,7-6 orientation A,chiral,b100011111001,b100111110001,"{0,4,5,6,7,8,11}",4-1-1-1-1-3-1,"5,3,3,4,4,2",4,true,true,false,satellite,satellite_D5,D5,Jupiter,4,d5_satellite,,,,Preserved A0–D6 network state
3175,Locrian 3♯6♮7,7-6,7-6 orientation A,chiral,b111001100011,b110001100111,"{0,1,2,5,6,10,11}",1-1-3-1-4-1-1,"5,3,3,4,4,2",4,true,true,false,satellite,satellite_D5,D5,Mercury,3,d5_satellite,,,,Preserved A0–D6 network state
3635,Ionian ♭25♯6,7-6,7-6 orientation A,chiral,b110011000111,b111000110011,"{0,1,4,5,9,10,11}",1-3-1-4-1-1-1,"5,3,3,4,4,2",4,true,true,false,satellite,satellite_D5,D5,Venus,5,d5_satellite,,,,Preserved A0–D6 network state
3865,Ionian ♯2♯45♯6,7-6,7-6 orientation A,chiral,b100110001111,b111100011001,"{0,3,4,8,9,10,11}",3-1-4-1-1-1-1,"5,3,3,4,4,2",4,true,true,false,satellite,satellite_D5,D5,Sun,0,d5_satellite,,,,Preserved A0–D6 network state
499,Major Locrian ♭26♭7,7-6,7-6 orientation B,chiral,b110011111000,b000111110011,"{0,1,4,5,6,7,8}",1-3-1-1-1-1-4,"5,3,3,4,4,2",4,true,true,false,satellite,satellite_D5,D5,Mars,2,d5_satellite,,,,Preserved A0–D6 network state
799,Infra-Alt 5♭6,7-6,7-6 orientation B,chiral,b111110001100,b001100011111,"{0,1,2,3,4,8,9}",1-1-1-1-4-1-3,"5,3,3,4,4,2",4,true,true,false,satellite,satellite_D5,D5,Saturn,6,d5_satellite,,,,Preserved A0–D6 network state
2297,Raghupriya V,7-6,7-6 orientation B,chiral,b100111110001,b100011111001,"{0,3,4,5,6,7,11}",3-1-1-1-1-4-1,"5,3,3,4,4,2",4,true,true,false,satellite,satellite_D5,D5,Jupiter,4,d5_satellite,,,,Preserved A0–D6 network state
2447,Alt ♮5734,7-6,7-6 orientation B,chiral,b111100011001,b100110001111,"{0,1,2,3,7,8,11}",1-1-1-4-1-3-1,"5,3,3,4,4,2",4,true,true,false,satellite,satellite_D5,D5,Moon,1,d5_satellite,,,,Preserved A0–D6 network state
3271,Mela Raghupriya,7-6,7-6 orientation B,chiral,b111000110011,b110011000111,"{0,1,2,6,7,10,11}",1-1-4-1-3-1-1,"5,3,3,4,4,2",4,true,true,false,satellite,satellite_D5,D5,Mercury,3,d5_satellite,,,,Preserved A0–D6 network state
3683,Phrygian +♯35,7-6,7-6 orientation B,chiral,b110001100111,b111001100011,"{0,1,5,6,9,10,11}",1-4-1-3-1-1-1,"5,3,3,4,4,2",4,true,true,false,satellite,satellite_D5,D5,Venus,5,d5_satellite,,,,Preserved A0–D6 network state
3889,Raghupriya III,7-6,7-6 orientation B,chiral,b100011001111,b111100110001,"{0,4,5,8,9,10,11}",4-1-3-1-1-1-1,"5,3,3,4,4,2",4,true,true,false,satellite,satellite_D5,D5,Sun,0,d5_satellite,,,,Preserved A0–D6 network state
463,Scale 463,7-7,7-7 orientation A,chiral,b111100111000,b000111001111,"{0,1,2,3,6,7,8}",1-1-1-3-1-1-4,"5,3,2,3,5,3",4,true,true,false,satellite,satellite_D2,D2,Jupiter,4,d2_satellite,,,,Preserved A0–D6 network state
967,Scale 967,7-7,7-7 orientation A,chiral,b111000111100,b001111000111,"{0,1,2,6,7,8,9}",1-1-4-1-1-1-3,"5,3,2,3,5,3",4,true,true,false,satellite,satellite_D2,D2,Venus,5,d2_satellite,,,,Preserved A0–D6 network state
2279,Scale 2279,7-7,7-7 orientation A,chiral,b111001110001,b100011100111,"{0,1,2,5,6,7,11}",1-1-3-1-1-4-1,"5,3,2,3,5,3",4,true,true,false,satellite,satellite_D2,D2,Saturn,6,d2_satellite,,,,Preserved A0–D6 network state
2531,Scale 2531,7-7,7-7 orientation A,chiral,b110001111001,b100111100011,"{0,1,5,6,7,8,11}",1-4-1-1-1-3-1,"5,3,2,3,5,3",4,true,true,false,satellite,satellite_D2,D2,Sun,0,d2_satellite,,,,Preserved A0–D6 network state
3187,Scale 3187,7-7,7-7 orientation A,chiral,b110011100011,b110001110011,"{0,1,4,5,6,10,11}",1-3-1-1-4-1-1,"5,3,2,3,5,3",4,true,true,false,satellite,satellite_D2,D2,Moon,1,d2_satellite,,,,Preserved A0–D6 network state
3313,Scale 3313,7-7,7-7 orientation A,chiral,b100011110011,b110011110001,"{0,4,5,6,7,10,11}",4-1-1-1-3-1-1,"5,3,2,3,5,3",4,true,true,false,satellite,satellite_D2,D2,Mars,2,d2_satellite,,,,Preserved A0–D6 network state
3641,Ionian ♯2𝄪5♯6,7-7,7-7 orientation A,chiral,b100111000111,b111000111001,"{0,3,4,5,9,10,11}",3-1-1-4-1-1-1,"5,3,2,3,5,3",4,true,true,false,satellite,satellite_D2,D2,Mercury,3,d2_satellite,,,,Preserved A0–D6 network state
487,Scale 487,7-7,7-7 orientation B,chiral,b111001111000,b000111100111,"{0,1,2,5,6,7,8}",1-1-3-1-1-1-4,"5,3,2,3,5,3",4,true,true,false,satellite,satellite_D2,D2,Jupiter,4,d2_satellite,,,,Preserved A0–D6 network state
911,Phrygian 𝄫3𝄫4𝄫7,7-7,7-7 orientation B,chiral,b111100011100,b001110001111,"{0,1,2,3,7,8,9}",1-1-1-4-1-1-3,"5,3,2,3,5,3",4,true,true,false,satellite,satellite_D2,D2,Mercury,3,d2_satellite,,,,Preserved A0–D6 network state
2291,Scale 2291,7-7,7-7 orientation B,chiral,b110011110001,b100011110011,"{0,1,4,5,6,7,11}",1-3-1-1-1-4-1,"5,3,2,3,5,3",4,true,true,false,satellite,satellite_D2,D2,Saturn,6,d2_satellite,,,,Preserved A0–D6 network state
2503,Scale 2503,7-7,7-7 orientation B,chiral,b111000111001,b100111000111,"{0,1,2,6,7,8,11}",1-1-4-1-1-3-1,"5,3,2,3,5,3",4,true,true,false,satellite,satellite_D2,D2,Venus,5,d2_satellite,,,,Preserved A0–D6 network state
3193,Scale 3193,7-7,7-7 orientation B,chiral,b100111100011,b110001111001,"{0,3,4,5,6,10,11}",3-1-1-1-4-1-1,"5,3,2,3,5,3",4,true,true,false,satellite,satellite_D2,D2,Moon,1,d2_satellite,,,,Preserved A0–D6 network state
3299,Scale 3299,7-7,7-7 orientation B,chiral,b110001110011,b110011100011,"{0,1,5,6,7,10,11}",1-4-1-1-3-1-1,"5,3,2,3,5,3",4,true,true,false,satellite,satellite_D2,D2,Sun,0,d2_satellite,,,,Preserved A0–D6 network state
3697,Scale 3697,7-7,7-7 orientation B,chiral,b100011100111,b111001110001,"{0,4,5,6,9,10,11}",4-1-1-3-1-1-1,"5,3,2,3,5,3",4,true,true,false,satellite,satellite_D2,D2,Mars,2,d2_satellite,,,,Preserved A0–D6 network state
381,Alt ♮25♭67,7-8,7-8 single orientation,achiral,b101111101000,b000101111101,"{0,2,3,4,5,6,8}",2-1-1-1-1-2-4,"4,5,4,4,2,2",4,true,true,false,anchor,anchor_D6,D6,Jupiter,4,d6_anchor,,,,Preserved A0–D6 network state
1119,Infra-Alt 56♭7,7-8,7-8 single orientation,achiral,b111110100010,b010001011111,"{0,1,2,3,4,6,10}",1-1-1-1-2-4-2,"4,5,4,4,2,2",4,true,true,false,anchor,anchor_D6,D6,Saturn,6,d6_anchor,,,,Preserved A0–D6 network state
2001,Dominant +234,7-8,7-8 single orientation,achiral,b100010111110,b011111010001,"{0,4,6,7,8,9,10}",4-2-1-1-1-1-2,"4,5,4,4,2,2",4,true,true,false,anchor,anchor_D6,D6,Mars,2,d6_anchor,,,,Preserved A0–D6 network state
2607,Alt ♮67345,7-8,7-8 single orientation,achiral,b111101000101,b101000101111,"{0,1,2,3,5,9,11}",1-1-1-2-4-2-1,"4,5,4,4,2,2",4,true,true,false,anchor,anchor_D6,D6,Moon,1,d6_anchor,,,,Preserved A0–D6 network state
3351,Crater Scale,7-8,7-8 single orientation,achiral,b111010001011,b110100010111,"{0,1,2,4,8,10,11}",1-1-2-4-2-1-1,"4,5,4,4,2,2",4,true,true,false,anchor,anchor_D6,D6,Mercury,3,d6_anchor,,,,Preserved A0–D6 network state
