semantic_operator_id:START_ID(SemanticOperator),scope_id:END_ID(SemanticUnresolvedScope),status,:TYPE
semantic:L4:v0.1.1,unresolved:semantic_compression_delta,unresolved,HAS_UNRESOLVED_SCOPE
semantic:L4:v0.1.1,unresolved:semantic_commutation_after_normalization,unresolved,HAS_UNRESOLVED_SCOPE
semantic:R5:v0.1.1,unresolved:canonical_feature_delta,unresolved,HAS_UNRESOLVED_SCOPE
semantic:R5:v0.1.1,unresolved:domain_projection_delta,unresolved,HAS_UNRESOLVED_SCOPE
semantic:R5:v0.1.1,unresolved:semantic_compression_delta,unresolved,HAS_UNRESOLVED_SCOPE
semantic:R5:v0.1.1,unresolved:semantic_commutation_after_normalization,unresolved,HAS_UNRESOLVED_SCOPE
semantic:L5:v0.1.1,unresolved:canonical_feature_delta,unresolved,HAS_UNRESOLVED_SCOPE
semantic:L5:v0.1.1,unresolved:domain_projection_delta,unresolved,HAS_UNRESOLVED_SCOPE
semantic:L5:v0.1.1,unresolved:semantic_compression_delta,unresolved,HAS_UNRESOLVED_SCOPE
semantic:L5:v0.1.1,unresolved:semantic_commutation_after_normalization,unresolved,HAS_UNRESOLVED_SCOPE
semantic:R6:v0.1.1,unresolved:canonical_feature_delta,unresolved,HAS_UNRESOLVED_SCOPE
semantic:R6:v0.1.1,unresolved:domain_projection_delta,unresolved,HAS_UNRESOLVED_SCOPE
semantic:R6:v0.1.1,unresolved:semantic_compression_delta,unresolved,HAS_UNRESOLVED_SCOPE
semantic:R6:v0.1.1,unresolved:semantic_commutation_after_normalization,unresolved,HAS_UNRESOLVED_SCOPE
semantic:L6:v0.1.1,unresolved:canonical_feature_delta,unresolved,HAS_UNRESOLVED_SCOPE
semantic:L6:v0.1.1,unresolved:domain_projection_delta,unresolved,HAS_UNRESOLVED_SCOPE
semantic:L6:v0.1.1,unresolved:semantic_compression_delta,unresolved,HAS_UNRESOLVED_SCOPE
semantic:L6:v0.1.1,unresolved:semantic_commutation_after_normalization,unresolved,HAS_UNRESOLVED_SCOPE
semantic:R7:v0.1.1,unresolved:canonical_feature_delta,unresolved,HAS_UNRESOLVED_SCOPE
semantic:R7:v0.1.1,unresolved:domain_projection_delta,unresolved,HAS_UNRESOLVED_SCOPE
semantic:R7:v0.1.1,unresolved:semantic_compression_delta,unresolved,HAS_UNRESOLVED_SCOPE
semantic:R7:v0.1.1,unresolved:semantic_commutation_after_normalization,unresolved,HAS_UNRESOLVED_SCOPE
semantic:L7:v0.1.1,unresolved:canonical_feature_delta,unresolved,HAS_UNRESOLVED_SCOPE
semantic:L7:v0.1.1,unresolved:domain_projection_delta,unresolved,HAS_UNRESOLVED_SCOPE
semantic:L7:v0.1.1,unresolved:semantic_compression_delta,unresolved,HAS_UNRESOLVED_SCOPE
semantic:L7:v0.1.1,unresolved:semantic_commutation_after_normalization,unresolved,HAS_UNRESOLVED_SCOPE
