assertion_id,profile_id:START_ID(CanonicalFeatureProfile),feature_id:END_ID(FeatureDefinition),value_json,provenance_json,:TYPE
assertion:fedb243c95c750378c64,profile:moon:v0.1.1,physical.photon_energy_j,3.2564686182769316e-19,"{""artifact"":""scripts/build-registry.mjs"",""authority"":""physically_derived_from_framework_anchor"",""formula"":""Derived from declared wavelength.""}",HAS_FEATURE
assertion:d144a2ef8f1914891fbb,profile:moon:v0.1.1,physical.photon_energy_ev,2.032527843167217,"{""artifact"":""scripts/build-registry.mjs"",""authority"":""physically_derived_from_framework_anchor"",""formula"":""Derived from declared wavelength.""}",HAS_FEATURE
assertion:be84e89448819cecfe98,profile:moon:v0.1.1,physical.C_P,0.19672131147540983,"{""artifact"":""scripts/build-registry.mjs"",""authority"":""physically_derived_from_framework_anchor"",""formula"":""Derived from declared wavelength.""}",HAS_FEATURE
assertion:ef5621be3cb100f91c15,profile:moon:v0.1.1,harmonic.canonical_scale_state,2741,"{""artifact"":""source/governors.yaml"",""pointer"":""governors.moon"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:c4c2cae603e4183b92c4,profile:moon:v0.1.1,harmonic.pitch_mask,b101011010101,"{""artifact"":""source/governors.yaml"",""pointer"":""governors.moon"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:3e408190fbb4380af090,profile:moon:v0.1.1,harmonic.forte_family,7-35,"{""artifact"":""source/governors.yaml"",""pointer"":""governors.moon"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:ddfdb017a41aaa571fcf,profile:moon:v0.1.1,harmonic.anchor_tier,A0,"{""artifact"":""source/governors.yaml"",""pointer"":""governors.moon"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:5385dc70a64d6b31d40b,profile:moon:v0.1.1,harmonic.C_H,,"{""artifact"":""source/governors.yaml"",""pointer"":""governors.moon"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:f63b0fda5c3ae0b5e241,profile:moon:v0.1.1,semantic.thermodynamic_function,reception,"{""artifact"":""source/governors.yaml"",""pointer"":""governors.moon"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:5734ee55f6beff81761f,profile:moon:v0.1.1,semantic.optical_function,reflection,"{""artifact"":""source/governors.yaml"",""pointer"":""governors.moon"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:3fdd5d6ad580f6aa2d1b,profile:moon:v0.1.1,semantic.directionality,inward_centripetal,"{""artifact"":""source/governors.yaml"",""pointer"":""governors.moon"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:1d618990072c6abf0f66,profile:moon:v0.1.1,semantic.archetypal_role,the experience of reality,"{""artifact"":""source/governors.yaml"",""pointer"":""governors.moon"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:b29a7ce80fb9639f5101,profile:moon:v0.1.1,semantic.element,,"{""artifact"":""source/governors.yaml"",""pointer"":""governors.moon"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:89600f1e9421be0b3d05,profile:moon:v0.1.1,semantic.zodiacal_systems,"{""cancer"":{""sex"":""female"",""magnetism"":""monopolar"",""directionality"":""inward_centripetal"",""derives_from"":""canonical_expression.binary_12bit"",""system_name"":""Daily Personal Experience System"",""domain"":[""daily personal experience"",""situated life"",""home"",""family"",""what is directly lived"",""emotional climate"",""immediate physical setting""],""core_question"":""What is my lived reality right now?"",""canonical_phrase"":""Cancer / Moon = the system of situated life.""}}","{""artifact"":""source/governors.yaml"",""pointer"":""governors.moon"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:a4e75d53f1a7761d8f6d,profile:moon:v0.1.1,semantic.C_S,"{""orderedPosition"":2,""orderedProcess"":""reception"",""normalizedOrdinal"":0.16666666666666666,""metric"":false,""status"":""framework_order_plus_registry_coordinate_convention""}","{""authority"":""framework_order_plus_registry_coordinate_convention"",""sources"":[{""artifact"":""source/governors.yaml"",""pointer"":""governors.moon.canonical_expression.thermodynamic_function"",""authority"":""framework_declared""},{""artifact"":""scripts/build-registry.mjs"",""authority"":""registry_coordinate_convention"",""description"":""The ordered position is exposed as a non-metric normalized ordinal.""}]}",HAS_FEATURE
assertion:ea51cdb6b840b863b7f5,profile:moon:v0.1.1,domain.landforms,"[""lakes"",""ponds"",""tidal pools"",""estuaries"",""marshes"",""foggy valleys""]","{""artifact"":""source/governors.yaml"",""pointer"":""governors.moon"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:3447e852e31225cdb814,profile:moon:v0.1.1,domain.architecture,"[""rounded buildings"",""moon gates"",""reflecting pools"",""crescent-shaped structures"",""oracles""]","{""artifact"":""source/governors.yaml"",""pointer"":""governors.moon"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:78e628eeb96f4bc4b33f,profile:moon:v0.1.1,domain.botany,"[""water lilies"",""lotus"",""moonflowers"",""jasmine"",""night-blooming cereus"",""silver sage""]","{""artifact"":""source/governors.yaml"",""pointer"":""governors.moon"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:a706cd50d697c6c201eb,profile:moon:v0.1.1,domain.material,"[""silver"",""moonstone"",""opal"",""pearl"",""selenite""]","{""artifact"":""source/governors.yaml"",""pointer"":""governors.moon"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:5bacae8a61a02d5cc676,profile:moon:v0.1.1,domain.color_associations,"[""silver"",""white"",""pale blue"",""misty gray"",""pale orange""]","{""artifact"":""source/governors.yaml"",""pointer"":""governors.moon"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:4ba781fdeba60f51e80d,profile:moon:v0.1.1,domain.symbolic_references,"[""crescent"",""mirror"",""chalice"",""bowl"",""shell"",""silver cord"",""the number 2"",""duality""]","{""artifact"":""source/governors.yaml"",""pointer"":""governors.moon"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:281400b59a9c0377476e,profile:mars:v0.1.1,physical.wavelength_nm,580,"{""artifact"":""source/governors.yaml"",""pointer"":""governors.mars"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:3e3c47e8f74f3a31448c,profile:mars:v0.1.1,physical.frequency_hz,516883548275862,"{""artifact"":""scripts/build-registry.mjs"",""authority"":""physically_derived_from_framework_anchor"",""formula"":""Derived from declared wavelength.""}",HAS_FEATURE
assertion:01777941facc1f7c25a8,profile:mars:v0.1.1,physical.photon_energy_j,3.424906650256773e-19,"{""artifact"":""scripts/build-registry.mjs"",""authority"":""physically_derived_from_framework_anchor"",""formula"":""Derived from declared wavelength.""}",HAS_FEATURE
assertion:5df1219eac18ce0878d1,profile:mars:v0.1.1,physical.photon_energy_ev,2.1376585936758663,"{""artifact"":""scripts/build-registry.mjs"",""authority"":""physically_derived_from_framework_anchor"",""formula"":""Derived from declared wavelength.""}",HAS_FEATURE
assertion:c1586351f8ee445d8a95,profile:mars:v0.1.1,physical.C_P,0.2758620689655172,"{""artifact"":""scripts/build-registry.mjs"",""authority"":""physically_derived_from_framework_anchor"",""formula"":""Derived from declared wavelength.""}",HAS_FEATURE
assertion:7e410d69bec084a4619c,profile:mars:v0.1.1,harmonic.canonical_scale_state,1717,"{""artifact"":""source/governors.yaml"",""pointer"":""governors.mars"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:90c2786e200b48ec2079,profile:mars:v0.1.1,harmonic.pitch_mask,b101011010110,"{""artifact"":""source/governors.yaml"",""pointer"":""governors.mars"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:72fb1522edc17027ff5d,profile:mars:v0.1.1,harmonic.forte_family,7-35,"{""artifact"":""source/governors.yaml"",""pointer"":""governors.mars"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:180db83ada86d0601133,profile:mars:v0.1.1,harmonic.anchor_tier,A0,"{""artifact"":""source/governors.yaml"",""pointer"":""governors.mars"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:d92d490ff775f97dc91f,profile:mars:v0.1.1,harmonic.C_H,,"{""artifact"":""source/governors.yaml"",""pointer"":""governors.mars"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:f9d2de82a87b01510a8a,profile:mars:v0.1.1,semantic.thermodynamic_function,activation,"{""artifact"":""source/governors.yaml"",""pointer"":""governors.mars"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:3dc55a8aeaeba10476e8,profile:mars:v0.1.1,semantic.optical_function,ignition,"{""artifact"":""source/governors.yaml"",""pointer"":""governors.mars"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:b57df4fa527fde67396e,profile:mars:v0.1.1,semantic.directionality,outward_projective,"{""artifact"":""source/governors.yaml"",""pointer"":""governors.mars"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:7add9c887a5d883d1a03,profile:mars:v0.1.1,semantic.archetypal_role,energy modulation; how force enters the pattern,"{""artifact"":""source/governors.yaml"",""pointer"":""governors.mars"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:eab79a0cd279213cb4aa,profile:mars:v0.1.1,semantic.element,Fire,"{""artifact"":""source/governors.yaml"",""pointer"":""governors.mars"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:043ec0b8b7affc4ace57,profile:mars:v0.1.1,semantic.zodiacal_systems,"{""aries"":{""directionality"":""external"",""derives_from"":""canonical_expression.binary_12bit"",""system_name"":""Tactical Environmental Mastery"",""domain"":[""terrain"",""flora"",""fauna"",""built systems"",""threats"",""action in the field"",""environmental strategy""],""core_question"":""How do I act effectively in the field?"",""canonical_phrase"":""Aries / Mars External = the field of action.""},""scorpio"":{""directionality"":""inward"",""derives_from"":""canonical_expression.binary_12bit_lsb"",""system_name"":""Inner Strategy System"",""domain"":[""inner strategy"",""drives"",""habits"",""desire"",""shadow"",""philosophy of action"",""self-command""],""core_question"":""What internal forces shape my actions and patterns?"",""canonical_phrase"":""Scorpio / Mars Internal = the war room of the self.""}}","{""artifact"":""source/governors.yaml"",""pointer"":""governors.mars"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:f22940f429e5db173050,profile:mars:v0.1.1,semantic.C_S,"{""orderedPosition"":3,""orderedProcess"":""activation"",""normalizedOrdinal"":0.3333333333333333,""metric"":false,""status"":""framework_order_plus_registry_coordinate_convention""}","{""authority"":""framework_order_plus_registry_coordinate_convention"",""sources"":[{""artifact"":""source/governors.yaml"",""pointer"":""governors.mars.canonical_expression.thermodynamic_function"",""authority"":""framework_declared""},{""artifact"":""scripts/build-registry.mjs"",""authority"":""registry_coordinate_convention"",""description"":""The ordered position is exposed as a non-metric normalized ordinal.""}]}",HAS_FEATURE
assertion:6780e2c91156ab0a6c8f,profile:mars:v0.1.1,domain.landforms,"[""volcanoes"",""canyons"",""cliffs"",""gorges"",""deserts"",""cracked earth"",""impact craters""]","{""artifact"":""source/governors.yaml"",""pointer"":""governors.mars"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:1479ef3b3a25d80fb66a,profile:mars:v0.1.1,domain.architecture,"[""fortresses"",""towers"",""forges"",""arenas"",""gates"",""military camps"",""smithies""]","{""artifact"":""source/governors.yaml"",""pointer"":""governors.mars"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:4c64b9cc3fd47c30f320,profile:mars:v0.1.1,domain.botany,"[""nettles"",""thorns"",""cacti"",""chili peppers"",""ginger"",""garlic"",""hawthorn"",""ironwood""]","{""artifact"":""source/governors.yaml"",""pointer"":""governors.mars"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:20cf9fa36ce34071464e,profile:mars:v0.1.1,domain.material,"[""iron"",""steel"",""bloodstone"",""carnelian"",""garnet"",""flint"",""obsidian""]","{""artifact"":""source/governors.yaml"",""pointer"":""governors.mars"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:e42e43206eaa9013d125,profile:mars:v0.1.1,domain.color_associations,"[""red"",""scarlet"",""bright yellow"",""orange"",""hot pink""]","{""artifact"":""source/governors.yaml"",""pointer"":""governors.mars"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:138333e0de4d0ec976e9,profile:mars:v0.1.1,domain.symbolic_references,"[""sword"",""spear"",""shield"",""forge"",""anvil"",""the number 5"",""pentagram"",""fire""]","{""artifact"":""source/governors.yaml"",""pointer"":""governors.mars"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:13a2826b47aa118993f7,profile:mercury:v0.1.1,physical.wavelength_nm,530,"{""artifact"":""source/governors.yaml"",""pointer"":""governors.mercury"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:1b52746191617396ad69,profile:mercury:v0.1.1,physical.frequency_hz,565646147169811.2,"{""artifact"":""scripts/build-registry.mjs"",""authority"":""physically_derived_from_framework_anchor"",""formula"":""Derived from declared wavelength.""}",HAS_FEATURE
assertion:ecd6e567e55b075507b1,profile:mercury:v0.1.1,physical.photon_energy_j,3.7480110512243934e-19,"{""artifact"":""scripts/build-registry.mjs"",""authority"":""physically_derived_from_framework_anchor"",""formula"":""Derived from declared wavelength.""}",HAS_FEATURE
assertion:5833ef590f5f411032e0,profile:mercury:v0.1.1,physical.photon_energy_ev,2.3393244987396273,"{""artifact"":""scripts/build-registry.mjs"",""authority"":""physically_derived_from_framework_anchor"",""formula"":""Derived from declared wavelength.""}",HAS_FEATURE
assertion:1aaa32c9f775fd6d4acb,profile:mercury:v0.1.1,physical.C_P,0.4276729559748428,"{""artifact"":""scripts/build-registry.mjs"",""authority"":""physically_derived_from_framework_anchor"",""formula"":""Derived from declared wavelength.""}",HAS_FEATURE
assertion:1e2d48faae3a6b69fc7c,profile:mercury:v0.1.1,harmonic.canonical_scale_state,1709,"{""artifact"":""source/governors.yaml"",""pointer"":""governors.mercury"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:cd245a86752fb9907181,profile:mercury:v0.1.1,harmonic.pitch_mask,b101101010110,"{""artifact"":""source/governors.yaml"",""pointer"":""governors.mercury"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:faecc78e55fb782c5a2b,profile:mercury:v0.1.1,harmonic.forte_family,7-35,"{""artifact"":""source/governors.yaml"",""pointer"":""governors.mercury"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:ee970cba1a38ebec5c5b,profile:mercury:v0.1.1,harmonic.anchor_tier,A0,"{""artifact"":""source/governors.yaml"",""pointer"":""governors.mercury"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:1ff27aed14708f81d5f9,profile:mercury:v0.1.1,harmonic.C_H,,"{""artifact"":""source/governors.yaml"",""pointer"":""governors.mercury"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:0e175f232d1fd633a422,profile:mercury:v0.1.1,semantic.thermodynamic_function,transduction,"{""artifact"":""source/governors.yaml"",""pointer"":""governors.mercury"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:35624a2a189fccef303a,profile:mercury:v0.1.1,semantic.optical_function,conversion_interface,"{""artifact"":""source/governors.yaml"",""pointer"":""governors.mercury"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:c98a76ae394771d8eceb,profile:mercury:v0.1.1,semantic.directionality,hinge_mediator,"{""artifact"":""source/governors.yaml"",""pointer"":""governors.mercury"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:42504fd889e523935ae8,profile:mercury:v0.1.1,semantic.archetypal_role,responsiveness and integration; how the system adapts,"{""artifact"":""source/governors.yaml"",""pointer"":""governors.mercury"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:f0bd3c42734e61bc5aec,profile:mercury:v0.1.1,semantic.element,Quintessence,"{""artifact"":""source/governors.yaml"",""pointer"":""governors.mercury"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:7ce116d3dd8e1475e6d7,profile:mercury:v0.1.1,semantic.zodiacal_systems,"{""gemini"":{""sex"":""male"",""directionality"":""outward_responsiveness"",""derives_from"":""canonical_expression.binary_12bit"",""system_name"":""Operational Interface Mastery"",""domain"":[""tools"",""workflows"",""interfaces"",""communication channels"",""APIs"",""dashboards"",""practical mastery of the fivefold engine""],""core_question"":""How do I operate, connect, translate, and coordinate the system?"",""canonical_phrase"":""Gemini / Mercury External = the interface layer.""},""virgo"":{""sex"":""female"",""directionality"":""internal_integration"",""derives_from"":""canonical_expression.binary_12bit_lsb"",""system_name"":""Diagnostic Story-Ledger"",""domain"":[""outcome interpretation"",""refinement"",""diagnosis"",""analytics"",""retrospectives"",""debugging"",""what events produced and what they mean""],""core_question"":""What did the system produce, and what does it mean?"",""canonical_phrase"":""Virgo / Mercury Internal = the outcome interpretation system.""}}","{""artifact"":""source/governors.yaml"",""pointer"":""governors.mercury"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:0cc49b3b65575bcc369b,profile:mercury:v0.1.1,semantic.C_S,"{""orderedPosition"":4,""orderedProcess"":""transduction"",""normalizedOrdinal"":0.5,""metric"":false,""status"":""framework_order_plus_registry_coordinate_convention""}","{""authority"":""framework_order_plus_registry_coordinate_convention"",""sources"":[{""artifact"":""source/governors.yaml"",""pointer"":""governors.mercury.canonical_expression.thermodynamic_function"",""authority"":""framework_declared""},{""artifact"":""scripts/build-registry.mjs"",""authority"":""registry_coordinate_convention"",""description"":""The ordered position is exposed as a non-metric normalized ordinal.""}]}",HAS_FEATURE
assertion:e3c489c982fce09f46a5,profile:mercury:v0.1.1,domain.landforms,"[""river deltas"",""estuaries"",""crossroads"",""winding paths"",""trade routes""]","{""artifact"":""source/governors.yaml"",""pointer"":""governors.mercury"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:4406fc1b719dd4626737,profile:mercury:v0.1.1,domain.architecture,"[""bridges"",""arches"",""doorways"",""market squares"",""message towers"",""libraries"",""scriptoria""]","{""artifact"":""source/governors.yaml"",""pointer"":""governors.mercury"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:ebbd7c0a6f881b661ef7,profile:mercury:v0.1.1,domain.botany,"[""ferns"",""ivy"",""vines"",""lavender"",""mint"",""vervain"",""lichen"",""moss""]","{""artifact"":""source/governors.yaml"",""pointer"":""governors.mercury"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:82421308e274f739ec4f,profile:mercury:v0.1.1,domain.material,"[""mercury"",""tin"",""bronze"",""jade"",""aventurine"",""emerald""]","{""artifact"":""source/governors.yaml"",""pointer"":""governors.mercury"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:ad4ee31a98c3b19d8f27,profile:mercury:v0.1.1,domain.color_associations,"[""green"",""yellow-green"",""bright emerald"",""bronze""]","{""artifact"":""source/governors.yaml"",""pointer"":""governors.mercury"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:fe52f209ec0fbafc94c9,profile:mercury:v0.1.1,domain.symbolic_references,"[""caduceus"",""winged sandals"",""the number 3"",""hexagram"",""serpent"",""messenger's staff""]","{""artifact"":""source/governors.yaml"",""pointer"":""governors.mercury"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:bb750da8837a61adad6f,profile:jupiter:v0.1.1,physical.wavelength_nm,470,"{""artifact"":""source/governors.yaml"",""pointer"":""governors.jupiter"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:86fe5764593fc3f0418c,profile:jupiter:v0.1.1,physical.frequency_hz,637856293617021.2,"{""artifact"":""scripts/build-registry.mjs"",""authority"":""physically_derived_from_framework_anchor"",""formula"":""Derived from declared wavelength.""}",HAS_FEATURE
assertion:c7682096f307c3eb739a,profile:jupiter:v0.1.1,physical.photon_energy_j,4.22648054712538e-19,"{""artifact"":""scripts/build-registry.mjs"",""authority"":""physically_derived_from_framework_anchor"",""formula"":""Derived from declared wavelength.""}",HAS_FEATURE
assertion:c9187f61559ca0207fd4,profile:jupiter:v0.1.1,physical.photon_energy_ev,2.637961668791495,"{""artifact"":""scripts/build-registry.mjs"",""authority"":""physically_derived_from_framework_anchor"",""formula"":""Derived from declared wavelength.""}",HAS_FEATURE
assertion:88ee8678008dfe5a3ba8,profile:jupiter:v0.1.1,physical.C_P,0.6524822695035462,"{""artifact"":""scripts/build-registry.mjs"",""authority"":""physically_derived_from_framework_anchor"",""formula"":""Derived from declared wavelength.""}",HAS_FEATURE
assertion:85bb74eb510614f3db8c,profile:jupiter:v0.1.1,harmonic.canonical_scale_state,1453,"{""artifact"":""source/governors.yaml"",""pointer"":""governors.jupiter"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:570627475654fe737265,profile:jupiter:v0.1.1,harmonic.pitch_mask,b101101011010,"{""artifact"":""source/governors.yaml"",""pointer"":""governors.jupiter"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:6bd3b36468402b1e2333,profile:jupiter:v0.1.1,harmonic.forte_family,7-35,"{""artifact"":""source/governors.yaml"",""pointer"":""governors.jupiter"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:4297606d3e4b75413d46,profile:jupiter:v0.1.1,harmonic.anchor_tier,A0,"{""artifact"":""source/governors.yaml"",""pointer"":""governors.jupiter"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:ae8e48fcb9df47f65681,profile:jupiter:v0.1.1,harmonic.C_H,,"{""artifact"":""source/governors.yaml"",""pointer"":""governors.jupiter"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:08c2c0fa3ec07bbbf047,profile:jupiter:v0.1.1,semantic.thermodynamic_function,distribution,"{""artifact"":""source/governors.yaml"",""pointer"":""governors.jupiter"",""authority"":""framework_declared""}",HAS_FEATURE
