cycle_id,representative_id,cycle_length,closes_at_source,minimal_period_seven,member_ids,member_names,forte,orientation,chirality,role,fine_role,tier,office_bearing,office_sequence,office_delta_sequence,office_plus_two_every_step,result
modal-cycle:431,431,7,true,true,431;2263;3179;3637;1933;1507;2801,Infra-Alt 7;Phlegmatic Minor;Locrian ♮7♯6;Rāga Rageshri;Dorian +𝄪4;Lydian ♭7♭2♭6♯3;Rāga Hindolita,7-14,7-14 orientation A,chiral,boundary,office_junction,,false,boundary;boundary;boundary;boundary;boundary;boundary;boundary,,true,PASS
modal-cycle:439,439,7,true,true,439;2267;3181;1819;2957;1763;2929,Infra-Alt 7♭4;Scale 2267;Melodic ♭5♯6;Alt ♮6♯5;Melodic +4;Lydian 7♭2♯3;Lydian +♯32,7-Z38,7-Z38 orientation A,chiral,satellite,satellite_D2,D2,true,Jupiter;Saturn;Moon;Mercury;Venus;Sun;Mars,2;2;2;2;2;2;2,true,PASS
modal-cycle:443,443,7,true,true,443;2269;1591;2843;3469;1891;2993,Alt ♭♭5♭♭6♭♭♭7;Nomadic Minor;Alt ♮6♭♭3♭5;Neapolitan Major ♭4♯5;Melodic +♯6𝄪4;Hijaz Major;Ionian +♯324,7-Z37,7-Z37 single orientation,achiral,anchor,anchor_D3,D3,true,Jupiter;Saturn;Moon;Mercury;Venus;Sun;Mars,2;2;2;2;2;2;2,true,PASS
modal-cycle:445,445,7,true,true,445;1135;2615;3355;3725;1955;3025,Alt ♮2♭♭5♭6♭♭♭7;Eurean Mode III;Alt ♮67♭♭35;Phrygian +♭4;Eurean Mode VI;Dominant +♭2♯3𝄪4;Ionian +𝄪234,7-11,7-11 orientation B,chiral,satellite,satellite_D3,D3,true,Jupiter;Saturn;Moon;Mercury;Venus;Sun;Mars,2;2;2;2;2;2;2,true,PASS
modal-cycle:463,463,7,true,true,463;2279;3187;3641;967;2531;3313,Scale 463;Scale 2279;Scale 3187;Ionian ♯2𝄪5♯6;Scale 967;Scale 2531;Scale 3313,7-7,7-7 orientation A,chiral,satellite,satellite_D2,D2,true,Jupiter;Saturn;Moon;Mercury;Venus;Sun;Mars,2;2;2;2;2;2;2,true,PASS
modal-cycle:471,471,7,true,true,471;2283;3189;1821;1479;2787;3441,Alt 3·6·♭7;Pacific Minor;Ionian ♭5♯6;Dorian +♭4;Mela Jalarnava;Lydian ♭2♯3;Superlydian Augmented ♯2,7-15,7-15 single orientation,achiral,anchor,anchor_D2,D2,true,Jupiter;Saturn;Moon;Mercury;Venus;Sun;Mars,2;2;2;2;2;2;2,true,PASS
modal-cycle:475,475,7,true,true,475;2285;1595;2845;1735;2915;3505,Alt 6♭7;Supine;Alt ♮65;Melodic +♭4;Navaneetam;Scale 2915;Superlydian Augmented 24,7-Z38,7-Z38 orientation B,chiral,satellite,satellite_D2,D2,true,Jupiter;Saturn;Moon;Mercury;Venus;Sun;Mars,2;2;2;2;2;2;2,true,PASS
modal-cycle:477,477,7,true,true,477;1143;2619;3357;1863;2979;3537,Alt ♮2𝄫6♭𝄫7;Scale 1143;Alt ♮675;Scale 3357;Scale 1863;Ionian +♭2♯3𝄪4;Scale 3537,7-13,7-13 orientation B,chiral,satellite,satellite_D4,D4,true,Mercury;Venus;Sun;Mars;Jupiter;Saturn;Moon,2;2;2;2;2;2;2,true,PASS
modal-cycle:487,487,7,true,true,487;2291;3193;911;2503;3299;3697,Scale 487;Scale 2291;Scale 3193;Phrygian 𝄫3𝄫4𝄫7;Scale 2503;Scale 3299;Scale 3697,7-7,7-7 orientation B,chiral,satellite,satellite_D2,D2,true,Jupiter;Saturn;Moon;Mercury;Venus;Sun;Mars,2;2;2;2;2;2;2,true,PASS
modal-cycle:491,491,7,true,true,491;2293;1597;1423;2759;3427;3761,Locrian ♭♭6♭♭♭7;Bucolic;Rāga Ravikosh;Alt ♮5♭♭3♭4;Lydian ♭2♭♭3;Phrygian +♯3;Rāga Madhuri,7-14,7-14 orientation B,chiral,boundary,office_junction,,false,boundary;boundary;boundary;boundary;boundary;boundary;boundary,,true,PASS
modal-cycle:493,493,7,true,true,493;1147;2621;1679;2887;3491;3793,Locrian ♮2♭♭6♭♭♭7;Alt double-flat 5 / flat–double-flat 6;Euphoric;Zephyrean Mode V;Zephyrean Mode VI;Superlydian Augmented ♭2𝄪4;Superlydian Augmented 𝄪2𝄪3𝄪4𝄪5,7-Z36,7-Z36 orientation B,chiral,boundary,oriented_convergence,,false,boundary;boundary;boundary;boundary;boundary;boundary;boundary,,true,PASS
modal-cycle:499,499,7,true,true,499;2297;799;2447;3271;3683;3889,Major Locrian ♭26♭7;Raghupriya V;Infra-Alt 5♭6;Alt ♮5734;Mela Raghupriya;Phrygian +♯35;Raghupriya III,7-6,7-6 orientation B,chiral,satellite,satellite_D5,D5,true,Mars;Jupiter;Saturn;Moon;Mercury;Venus;Sun,2;2;2;2;2;2;2,true,PASS
modal-cycle:501,501,7,true,true,501;1149;1311;2703;3399;3747;3921,Major Locrian 6♭7;Alt ♮25♭6;Alt 34♭5;Erratic Minor;Phrygian +𝄫3;Superlydian Augmented ♭2𝄪4𝄪5;Superlydian Augmented 23♯45,7-9,7-9 orientation B,chiral,boundary,oriented_convergence,,false,boundary;boundary;boundary;boundary;boundary;boundary;boundary,,true,PASS
modal-cycle:505,505,7,true,true,505;575;2335;3215;3655;3875;3985,7-3 rooted state 505;Scale 575;7-3 rooted state 2335;7-3 rooted state 3215;7-3 rooted state 3655;7-3 rooted state 3875;7-3 rooted state 3985,7-3,7-3 orientation B,chiral,boundary,oriented_convergence,,false,boundary;boundary;boundary;boundary;boundary;boundary;boundary,,true,PASS
modal-cycle:607,607,7,true,true,607;2351;3223;3659;3877;1993;761,Infra-Alt 56;Alt ♮7345;Alt ♮57♯63;Phrygian +5;Ionian ♯3♯45♯6;Dominant +♯234;Major Locrian ♯267,7-10,7-10 orientation A,chiral,satellite,satellite_D5,D5,true,Saturn;Moon;Mercury;Venus;Sun;Mars;Jupiter,2;2;2;2;2;2;2,true,PASS
modal-cycle:623,623,7,true,true,623;2359;3227;3661;1939;3017;889,Infra-Alt 6;Unorthodox Minor;Neapolitan Major ♭4♯6;Melodic ♯4𝄪5♯6;Dominant +♭2𝄪4;Scale 3017;Scale 889,7-16,7-16 orientation A,chiral,satellite,satellite_D4,D4,true,Venus;Sun;Mars;Jupiter;Saturn;Moon;Mercury,2;2;2;2;2;2;2,true,PASS
modal-cycle:631,631,7,true,true,631;2363;3229;1831;2963;3529;953,Infra-Alt 6♭4;Unorthodox;Varunapriya ♭4;Dominant +♭2𝄫3;Ionian +♭2𝄪4;Superlydian Augmented 𝄪3𝄪4;Rāga Kalahamsa,7-Z17,7-Z17 single orientation,achiral,anchor,anchor_D4,D4,true,Venus;Sun;Mars;Jupiter;Saturn;Moon;Mercury,2;2;2;2;2;2;2,true,PASS
modal-cycle:635,635,7,true,true,635;2365;1615;2855;3475;3785;985,Scale 635;Alt ♮27𝄫5;Sydian (Alt ♮6𝄫34);Ionian +♭2𝄫3;Enigmatic 𝄪4;Scale 3785;Scale 985,7-16,7-16 orientation B,chiral,satellite,satellite_D4,D4,true,Venus;Sun;Mars;Jupiter;Saturn;Moon;Mercury,2;2;2;2;2;2;2,true,PASS
modal-cycle:637,637,7,true,true,637;1183;2639;3367;3731;3913;1001,Debussy's Heptatonic;Infra-Alt 5♭7;Alt ♮6734;Neapolitan Major 3♯5♯6;Aeryrian;Bonian;Lydian ♯2♯3♭67,7-10,7-10 orientation B,chiral,satellite,satellite_D5,D5,true,Jupiter;Saturn;Moon;Mercury;Venus;Sun;Mars,2;2;2;2;2;2;2,true,PASS
modal-cycle:671,671,7,true,true,671;2383;3239;3667;3881;997;1273,Infra-Alt 5;Alt ♮734;Rāga Tanukirti;Lydian ♭25♯6;Tanarupi III;Tanarupi IV;Tanarupi V,7-Z12,7-Z12 single orientation,achiral,anchor,anchor_D5,D5,true,Saturn;Moon;Mercury;Venus;Sun;Mars;Jupiter,2;2;2;2;2;2;2,true,PASS
modal-cycle:687,687,7,true,true,687;2391;3243;3669;1941;1509;1401,Alt ♭♭3♭♭4♭♭5♭♭6♭♭7;Phlegmatic;Mela Rupavati;Ionian ♯4𝄪5♯6;Dominant +𝄪4;Lydian Minor ♯3;Major Locrian ♯2,7-24,7-24 orientation A,chiral,satellite,satellite_A2,A2,true,Saturn;Moon;Mercury;Venus;Sun;Mars;Jupiter,2;2;2;2;2;2;2,true,PASS
modal-cycle:695,695,7,true,true,695;2395;3245;1835;2965;1765;1465,Phrygian Double-Flat;Alt ♮7;Rāga Daulati;Dorian +♭2;Ionian +𝄪4;Lydian ♭7♯3;Rāga Cudamani,7-27,7-27 orientation A,chiral,satellite,satellite_A1,A1,true,Venus;Sun;Mars;Jupiter;Saturn;Moon;Mercury,2;2;2;2;2;2;2,true,PASS
modal-cycle:699,699,7,true,true,699;2397;1623;2859;3477;1893;1497,Ultralocrian 5;Eccentric;Alt ♮63;Neapolitan Major ♯5;Ionian +♯64;Lydian 7+♯3;Jyoti Swarupini,7-26,7-26 orientation A,chiral,satellite,satellite_A2,A2,true,Jupiter;Saturn;Moon;Mercury;Venus;Sun;Mars,2;2;2;2;2;2;2,true,PASS
modal-cycle:701,701,7,true,true,701;1199;2647;3371;3733;1957;1513,Alt ♮2♭♭567;Alt ♭♭3♭♭4♭♭5♭♭6;Bohemian;Neapolitan Maj ♯5♯6;Ionian 𝄪4𝄪5♯6;Dominant +♯3𝄪4;Lydian ♭7♭6♯2♯3,7-23,7-23 orientation A,chiral,boundary,oriented_convergence,,false,boundary;boundary;boundary;boundary;boundary;boundary;boundary,,true,PASS
modal-cycle:719,719,7,true,true,719;2407;3251;3673;971;2533;1657,1MI & 2Δ7;7-19 rooted state 2407;7-19 rooted state 3251;Scale 3673;Scale 971;7-19 rooted state 2533;7-19 rooted state 1657,7-19,7-19 orientation A,chiral,boundary,office_junction,,false,boundary;boundary;boundary;boundary;boundary;boundary;boundary,,true,PASS
modal-cycle:727,727,7,true,true,727;2411;3253;1837;1483;2789;1721,Triadic Heptatonic 29;Locrian ♮7;Mela Naganandini;Dorian Augmented;Mela Bhavapriya;Lydian ♯3;Rāga Ganavaridhi,7-29,7-29 orientation A,chiral,satellite,satellite_A0,A0,true,Jupiter;Saturn;Moon;Mercury;Venus;Sun;Mars,2;2;2;2;2;2;2,true,PASS
modal-cycle:731,731,7,true,true,731;2413;1627;2861;1739;2917;1753,Alternating Heptamode;Harmonic Minor ♭5;Superlocrian ♯6;Melodic +;Rāga Sthavarajam;Lydian Augmented ♯3;Hungarian Major,7-31,7-31 orientation A,chiral,satellite,satellite_A1,A1,true,Mercury;Venus;Sun;Mars;Jupiter;Saturn;Moon,2;2;2;2;2;2;2,true,PASS
modal-cycle:733,733,7,true,true,733;1207;2651;3373;1867;2981;1769,Superlocrian ♮2♭♭6♭♭7;Alt ♭♭3♭♭5♭♭6;7-25 rooted state 2651;Melodic +♯6;Lydian 7+♭23;Noh;Lydian ♭7♯2♯3,7-25,7-25 orientation A,chiral,boundary,office_junction,,false,boundary;boundary;boundary;boundary;boundary;boundary;boundary,,true,PASS
modal-cycle:743,743,7,true,true,743;2419;3257;919;2507;3301;1849,Phrygian Hungarian Minor;Rāga Suddha Pancama;Rāga Madhuranjani;Chromatic Phrygian Inverse;Chromatic Lydian Inverse;Rāga Loom Sarang;Rāga Dvigandharabushini,7-20,7-20 orientation A,chiral,satellite,satellite_D1,D1,true,Moon;Mercury;Venus;Sun;Mars;Jupiter;Saturn,2;2;2;2;2;2;2,true,PASS
modal-cycle:747,747,7,true,true,747;2421;1629;1431;2763;3429;1881,1sus4 & ♭3∅7;Harmonic Major ♭5;Dorian Blues;Astrocyte;Rāga Sauviram;Lydian +♯36;Lydian 7+♯2,7-28,7-28 orientation A,chiral,satellite,satellite_A2,A2,true,Mars;Jupiter;Saturn;Moon;Mercury;Venus;Sun,2;2;2;2;2;2;2,true,PASS
modal-cycle:749,749,7,true,true,749;1211;2653;1687;2891;3493;1897,Locrian ♮2♭♭6♭♭7;Ceiling Scale;Nomadic;Midlocrian;7-25 rooted state 2891;Ionian +♯3♯6𝄪4;Lydian 7+♯23,7-25,7-25 orientation B,chiral,boundary,office_junction,,false,boundary;boundary;boundary;boundary;boundary;boundary;boundary,,true,PASS
modal-cycle:755,755,7,true,true,755;2425;815;2455;3275;3685;1945,Ionian ♭2♭5𝄫6𝄫7;Scale 2425;Scale 815;7-Z18 rooted state 2455;7-Z18 rooted state 3275;7-Z18 rooted state 3685;7-Z18 rooted state 1945,7-Z18,7-Z18 orientation A,chiral,boundary,oriented_convergence,,false,boundary;boundary;boundary;boundary;boundary;boundary;boundary,,true,PASS
modal-cycle:757,757,7,true,true,757;1213;1327;2711;3403;3749;1961,Lipsean Mode II;Alt ♮2♭♭5♭6;Lipsean Mode IV;Erratic;Enigmatic Minor;Rāga Sorati;Dominant +♯2♯3𝄪4,7-23,7-23 orientation B,chiral,boundary,oriented_convergence,,false,boundary;boundary;boundary;boundary;boundary;boundary;boundary,,true,PASS
modal-cycle:823,823,7,true,true,823;2459;3277;1843;2969;883;2489,Scale 823;7-21 rooted state 2459;7-21 rooted state 3277;7-21 rooted state 1843;Scale 2969;Scale 883;Scale 2489,7-21,7-21 orientation A,chiral,boundary,office_junction,,false,boundary;boundary;boundary;boundary;boundary;boundary;boundary,,true,PASS
modal-cycle:827,827,7,true,true,827;2461;1639;2867;3481;947;2521,Scale 827;7-21 rooted state 2461;7-21 rooted state 1639;7-21 rooted state 2867;Scale 3481;Scale 947;Scale 2521,7-21,7-21 orientation B,chiral,boundary,office_junction,,false,boundary;boundary;boundary;boundary;boundary;boundary;boundary,,true,PASS
modal-cycle:829,829,7,true,true,829;1231;2663;3379;3737;979;2537,7-Z18 rooted state 829;7-Z18 rooted state 1231;7-Z18 rooted state 2663;7-Z18 rooted state 3379;Scale 3737;Scale 979;Scale 2537,7-Z18,7-Z18 orientation B,chiral,boundary,oriented_convergence,,false,boundary;boundary;boundary;boundary;boundary;boundary;boundary,,true,PASS
modal-cycle:847,847,7,true,true,847;2471;3283;3689;973;1267;2681,Scale 847;7-19 rooted state 2471;7-19 rooted state 3283;Scale 3689;7-19 rooted state 973;7-19 rooted state 1267;Scale 2681,7-19,7-19 orientation B,chiral,boundary,office_junction,,false,boundary;boundary;boundary;boundary;boundary;boundary;boundary,,true,PASS
modal-cycle:855,855,7,true,true,855;2475;3285;1845;1485;1395;2745,Ultralocrian 𝄫3;Neapolitan Minor;Mela Citrambari;Mixolydian Augmented;Mela Sanmukhapriya;Locrian Dominant;Rāga Sailadesakshi,7-30,7-30 orientation A,chiral,satellite,satellite_A0,A0,true,Mercury;Venus;Sun;Mars;Jupiter;Saturn;Moon,2;2;2;2;2;2;2,true,PASS
modal-cycle:859,859,7,true,true,859;2477;1643;2869;1741;1459;2777,Ultralocrian;Harmonic Minor;Locrian ♮6;Major Augmented;Dorian ♯4;Phrygian Dominant;Aeolian Harmonic,7-32,7-32 orientation A,chiral,satellite,satellite_A0,A0,true,Mars;Jupiter;Saturn;Moon;Mercury;Venus;Sun,2;2;2;2;2;2;2,true,PASS
modal-cycle:861,861,7,true,true,861;1239;2667;3381;1869;1491;2793,Superlocrian ♮2𝄫7;Alt 𝄫3𝄫6;Neapolitan Major ♭5;Ionian +♯6;Lydian 7+♭3;Namanarayani;1sus4 & 7⁷,7-28,7-28 orientation B,chiral,satellite,satellite_A2,A2,true,Saturn;Moon;Mercury;Venus;Sun;Mars;Jupiter,2;2;2;2;2;2;2,true,PASS
modal-cycle:871,871,7,true,true,871;2483;3289;923;2509;1651;2873,Locrian 𝄫3𝄫7;Double Harmonic;Rasikapriya;Alt ♮5𝄫7;Double Harmonic Minor;Tsinganikos;Ionian Augmented ♯2,7-22,7-22 single orientation,achiral,anchor,anchor_D1,D1,true,Moon;Mercury;Venus;Sun;Mars;Jupiter;Saturn,2;2;2;2;2;2;2,true,PASS
modal-cycle:875,875,7,true,true,875;2485;1645;1435;2765;1715;2905,Locrian double-flat 7;Harmonic Major;Dorian ♭5;Maqam Saba Zamzam;Lydian Diminished;Dominant ♭2;Aeolian Flat,7-32,7-32 orientation B,chiral,satellite,satellite_A0,A0,true,Saturn;Moon;Mercury;Venus;Sun;Mars;Jupiter,2;2;2;2;2;2;2,true,PASS
modal-cycle:877,877,7,true,true,877;1243;2669;1691;2893;1747;2921,Hungarian Major Inverse;Alt 6;Jeths' Mode;Dorian ♭2♭4;Lydian Augmented ♭3;Lydian 7♭2;Lydian Augmented ♯2♯3,7-31,7-31 orientation B,chiral,satellite,satellite_A1,A1,true,Venus;Sun;Mars;Jupiter;Saturn;Moon;Mercury,2;2;2;2;2;2;2,true,PASS
modal-cycle:885,885,7,true,true,885;1245;1335;2715;3405;1875;2985,Major Locrian 𝄫7;Alt ♮26;Elephant Scale;Neapolitan Major ♭4;Phrygian +♮2;Persichetti;Ionian +♯23𝄪4,7-26,7-26 orientation B,chiral,satellite,satellite_A2,A2,true,Jupiter;Saturn;Moon;Mercury;Venus;Sun;Mars,2;2;2;2;2;2;2,true,PASS
modal-cycle:925,925,7,true,true,925;1255;2675;3385;935;2515;3305,Chromatic Hypodorian;Chromatic Mixolydian;Chromatic Lydian;Chromatic Phrygian;Kanakangi;Chromatic Hypolydian;Chromatic Hypophrygian,7-20,7-20 orientation B,chiral,satellite,satellite_D1,D1,true,Sun;Mars;Jupiter;Saturn;Moon;Mercury;Venus,2;2;2;2;2;2;2,true,PASS
modal-cycle:939,939,7,true,true,939;2517;1653;1437;1383;2739;3417,Rāga Malini;Lydian Harmonic Major;Mixolydian ♭5;Sabach;Locrian double-flat 3;Rāga Supradhipam;Lydian +♯26,7-30,7-30 orientation B,chiral,satellite,satellite_A0,A0,true,Venus;Sun;Mars;Jupiter;Saturn;Moon;Mercury,2;2;2;2;2;2;2,true,PASS
modal-cycle:941,941,7,true,true,941;1259;2677;1693;1447;2771;3433,Rāga Jhankara Bhramavi;Blues Phrygian;Ionian ♭5;Dorian ♭4;Rāga Phenadyuti;Mela Gamanasrama;Superlydian Augmented,7-29,7-29 orientation B,chiral,satellite,satellite_A0,A0,true,Jupiter;Saturn;Moon;Mercury;Venus;Sun;Mars,2;2;2;2;2;2;2,true,PASS
modal-cycle:949,949,7,true,true,949;1261;1339;2717;1703;2899;3497,Mararanjani;Modified Blues;Alt ♭♭5;Melodic ♭4;Rāga Bhanumati;Lydian Augmented ♭2;Superlydian Augmented 𝄪4,7-27,7-27 orientation B,chiral,satellite,satellite_A1,A1,true,Mercury;Venus;Sun;Mars;Jupiter;Saturn;Moon,2;2;2;2;2;2;2,true,PASS
modal-cycle:981,981,7,true,true,981;1269;1341;1359;2727;3411;3753,"Mela Kantamani;Major Locrian ♭♭6;Alt ♮2♭♭5;Alt double-flat 3, double-flat 4;Rāga Manoranjani;Enigmatic;Superaugmented ♯3𝄪4𝄪5",7-24,7-24 orientation B,chiral,satellite,satellite_A2,A2,true,Mars;Jupiter;Saturn;Moon;Mercury;Venus;Sun,2;2;2;2;2;2;2,true,PASS
modal-cycle:1367,1367,7,true,true,1367;2731;3413;1877;1493;1397;1373,Leading Whole-Tone Inverse;Neapolitan Major;Leading Whole-Tone;Aeroptian;Lydian Minor;Major Locrian;Storian,7-33,7-33 single orientation,achiral,anchor,anchor_A2,A2,true,Moon;Mercury;Venus;Sun;Mars;Jupiter;Saturn,2;2;2;2;2;2;2,true,PASS
modal-cycle:1371,1371,7,true,true,1371;2733;1707;2901;1749;1461;1389,Superlocrian;Melodic Minor;Dorian ♭2;Lydian Augmented;Acoustic;Mixolydian ♭6;Half-Diminished,7-34,7-34 single orientation,achiral,anchor,anchor_A1,A1,true,Sun;Mars;Jupiter;Saturn;Moon;Mercury;Venus,2;2;2;2;2;2;2,true,PASS
modal-cycle:1387,1387,7,true,true,1387;2741;1709;1451;2773;1717;1453,Locrian;Ionian;Dorian;Phrygian;Lydian;Mixolydian;Aeolian,7-35,7-35 single orientation,achiral,anchor,anchor_A0,A0,true,Saturn;Moon;Mercury;Venus;Sun;Mars;Jupiter,2;2;2;2;2;2;2,true,PASS
