application_id,source_id,source_name,source_role,source_tier,source_office,target_id,target_name,target_role,target_tier,target_office,canonical_modal_successor_projected,structural_edge_ids,projection_status
M:631:2363,631,Infra-Alt 6♭4,anchor,D4,Venus,2363,Unorthodox,anchor,D4,Sun,true,modal:D4:631:2363,canonical_modal_edge_projected
M:635:2365,635,Scale 635,satellite,D4,Venus,2365,Alt ♮27𝄫5,satellite,D4,Sun,true,modal:D4-satellite:7-16:2:635:2365,canonical_modal_edge_projected
M:637:1183,637,Debussy's Heptatonic,satellite,D5,Jupiter,1183,Infra-Alt 5♭7,satellite,D5,Saturn,true,modal:D5-satellite:7-10:2:637:1183,canonical_modal_edge_projected
M:671:2383,671,Infra-Alt 5,anchor,D5,Saturn,2383,Alt ♮734,anchor,D5,Moon,true,modal:D5:671:2383,canonical_modal_edge_projected
M:687:2391,687,Alt ♭♭3♭♭4♭♭5♭♭6♭♭7,satellite,A2,Saturn,2391,Phlegmatic,satellite,A2,Moon,false,,unprojected_formal_modal_application
M:695:2395,695,Phrygian Double-Flat,satellite,A1,Venus,2395,Alt ♮7,satellite,A1,Sun,false,,unprojected_formal_modal_application
M:699:2397,699,Ultralocrian 5,satellite,A2,Jupiter,2397,Eccentric,satellite,A2,Saturn,false,,unprojected_formal_modal_application
M:701:1199,701,Alt ♮2♭♭567,boundary,,,1199,Alt ♭♭3♭♭4♭♭5♭♭6,boundary,,,false,,unprojected_formal_modal_application
M:719:2407,719,1MI & 2Δ7,boundary,,,2407,7-19 rooted state 2407,boundary,,,false,,unprojected_formal_modal_application
M:727:2411,727,Triadic Heptatonic 29,satellite,A0,Jupiter,2411,Locrian ♮7,satellite,A0,Saturn,false,,unprojected_formal_modal_application
M:731:2413,731,Alternating Heptamode,satellite,A1,Mercury,2413,Harmonic Minor ♭5,satellite,A1,Venus,false,,unprojected_formal_modal_application
M:733:1207,733,Superlocrian ♮2♭♭6♭♭7,boundary,,,1207,Alt ♭♭3♭♭5♭♭6,boundary,,,false,,unprojected_formal_modal_application
M:743:2419,743,Phrygian Hungarian Minor,satellite,D1,Moon,2419,Rāga Suddha Pancama,satellite,D1,Mercury,false,,unprojected_formal_modal_application
M:747:2421,747,1sus4 & ♭3∅7,satellite,A2,Mars,2421,Harmonic Major ♭5,satellite,A2,Jupiter,false,,unprojected_formal_modal_application
M:749:1211,749,Locrian ♮2♭♭6♭♭7,boundary,,,1211,Ceiling Scale,boundary,,,false,,unprojected_formal_modal_application
M:755:2425,755,Ionian ♭2♭5𝄫6𝄫7,boundary,,,2425,Scale 2425,boundary,,,false,,unprojected_formal_modal_application
M:757:1213,757,Lipsean Mode II,boundary,,,1213,Alt ♮2♭♭5♭6,boundary,,,false,,unprojected_formal_modal_application
M:761:607,761,Major Locrian ♯267,satellite,D5,Jupiter,607,Infra-Alt 56,satellite,D5,Saturn,true,modal:D5-satellite:7-10:1:761:607,canonical_modal_edge_projected
M:799:2447,799,Infra-Alt 5♭6,satellite,D5,Saturn,2447,Alt ♮5734,satellite,D5,Moon,true,modal:D5-satellite:7-6:2:799:2447,canonical_modal_edge_projected
M:815:2455,815,Scale 815,boundary,,,2455,7-Z18 rooted state 2455,boundary,,,false,,unprojected_formal_modal_application
M:823:2459,823,Scale 823,boundary,,,2459,7-21 rooted state 2459,boundary,,,false,,unprojected_formal_modal_application
M:827:2461,827,Scale 827,boundary,,,2461,7-21 rooted state 2461,boundary,,,false,,unprojected_formal_modal_application
M:829:1231,829,7-Z18 rooted state 829,boundary,,,1231,7-Z18 rooted state 1231,boundary,,,false,,unprojected_formal_modal_application
M:847:2471,847,Scale 847,boundary,,,2471,7-19 rooted state 2471,boundary,,,false,,unprojected_formal_modal_application
M:855:2475,855,Ultralocrian 𝄫3,satellite,A0,Mercury,2475,Neapolitan Minor,satellite,A0,Venus,false,,unprojected_formal_modal_application
M:859:2477,859,Ultralocrian,satellite,A0,Mars,2477,Harmonic Minor,satellite,A0,Jupiter,false,,unprojected_formal_modal_application
M:861:1239,861,Superlocrian ♮2𝄫7,satellite,A2,Saturn,1239,Alt 𝄫3𝄫6,satellite,A2,Moon,false,,unprojected_formal_modal_application
M:871:2483,871,Locrian 𝄫3𝄫7,anchor,D1,Moon,2483,Double Harmonic,anchor,D1,Mercury,true,modal:D1:871:2483,canonical_modal_edge_projected
M:875:2485,875,Locrian double-flat 7,satellite,A0,Saturn,2485,Harmonic Major,satellite,A0,Moon,false,,unprojected_formal_modal_application
M:877:1243,877,Hungarian Major Inverse,satellite,A1,Venus,1243,Alt 6,satellite,A1,Sun,false,,unprojected_formal_modal_application
M:883:2489,883,Scale 883,boundary,,,2489,Scale 2489,boundary,,,false,,unprojected_formal_modal_application
M:885:1245,885,Major Locrian 𝄫7,satellite,A2,Jupiter,1245,Alt ♮26,satellite,A2,Saturn,false,,unprojected_formal_modal_application
M:889:623,889,Scale 889,satellite,D4,Mercury,623,Infra-Alt 6,satellite,D4,Venus,true,modal:D4-satellite:7-16:1:889:623,canonical_modal_edge_projected
M:911:2503,911,Phrygian 𝄫3𝄫4𝄫7,satellite,D2,Mercury,2503,Scale 2503,satellite,D2,Venus,true,modal:D2-satellite:7-7:2:911:2503,canonical_modal_edge_projected
M:919:2507,919,Chromatic Phrygian Inverse,satellite,D1,Sun,2507,Chromatic Lydian Inverse,satellite,D1,Mars,false,,unprojected_formal_modal_application
M:923:2509,923,Alt ♮5𝄫7,anchor,D1,Sun,2509,Double Harmonic Minor,anchor,D1,Mars,true,modal:D1:923:2509,canonical_modal_edge_projected
M:925:1255,925,Chromatic Hypodorian,satellite,D1,Sun,1255,Chromatic Mixolydian,satellite,D1,Mars,false,,unprojected_formal_modal_application
M:935:2515,935,Kanakangi,satellite,D1,Moon,2515,Chromatic Hypolydian,satellite,D1,Mercury,false,,unprojected_formal_modal_application
M:939:2517,939,Rāga Malini,satellite,A0,Venus,2517,Lydian Harmonic Major,satellite,A0,Sun,false,,unprojected_formal_modal_application
M:941:1259,941,Rāga Jhankara Bhramavi,satellite,A0,Jupiter,1259,Blues Phrygian,satellite,A0,Saturn,false,,unprojected_formal_modal_application
M:947:2521,947,Scale 947,boundary,,,2521,Scale 2521,boundary,,,false,,unprojected_formal_modal_application
M:949:1261,949,Mararanjani,satellite,A1,Mercury,1261,Modified Blues,satellite,A1,Venus,false,,unprojected_formal_modal_application
M:953:631,953,Rāga Kalahamsa,anchor,D4,Mercury,631,Infra-Alt 6♭4,anchor,D4,Venus,true,modal:D4:953:631,canonical_modal_edge_projected
M:967:2531,967,Scale 967,satellite,D2,Venus,2531,Scale 2531,satellite,D2,Sun,true,modal:D2-satellite:7-7:1:967:2531,canonical_modal_edge_projected
M:971:2533,971,Scale 971,boundary,,,2533,7-19 rooted state 2533,boundary,,,false,,unprojected_formal_modal_application
M:973:1267,973,7-19 rooted state 973,boundary,,,1267,7-19 rooted state 1267,boundary,,,false,,unprojected_formal_modal_application
M:979:2537,979,Scale 979,boundary,,,2537,Scale 2537,boundary,,,false,,unprojected_formal_modal_application
M:981:1269,981,Mela Kantamani,satellite,A2,Mars,1269,Major Locrian ♭♭6,satellite,A2,Jupiter,false,,unprojected_formal_modal_application
M:985:635,985,Scale 985,satellite,D4,Mercury,635,Scale 635,satellite,D4,Venus,true,modal:D4-satellite:7-16:2:985:635,canonical_modal_edge_projected
M:995:2545,995,Lydian ♭2♯3♭67,satellite,D5,Mars,2545,Lydian 2♯3♭6,satellite,D5,Jupiter,true,modal:D5-satellite:7-6:1:995:2545,canonical_modal_edge_projected
M:997:1273,997,Tanarupi IV,anchor,D5,Mars,1273,Tanarupi V,anchor,D5,Jupiter,true,modal:D5:997:1273,canonical_modal_edge_projected
M:1001:637,1001,Lydian ♯2♯3♭67,satellite,D5,Mars,637,Debussy's Heptatonic,satellite,D5,Jupiter,true,modal:D5-satellite:7-10:2:1001:637,canonical_modal_edge_projected
M:1009:319,1009,7-3 rooted state 1009,boundary,,,319,7-3 rooted state 319,boundary,,,false,,unprojected_formal_modal_application
M:1087:2591,1087,Infra-Alt 5♭76,satellite,D6,Saturn,2591,Quixotic,satellite,D6,Moon,true,modal:D6-satellite:7-2:2:1087:2591,canonical_modal_edge_projected
M:1119:2607,1119,Infra-Alt 56♭7,anchor,D6,Saturn,2607,Alt ♮67345,anchor,D6,Moon,true,modal:D6:1119:2607,canonical_modal_edge_projected
M:1135:2615,1135,Eurean Mode III,satellite,D3,Saturn,2615,Alt ♮67♭♭35,satellite,D3,Moon,true,modal:D3-satellite:7-11:2:1135:2615,canonical_modal_edge_projected
M:1143:2619,1143,Scale 1143,satellite,D4,Venus,2619,Alt ♮675,satellite,D4,Sun,true,modal:D4-satellite:7-13:2:1143:2619,canonical_modal_edge_projected
M:1147:2621,1147,Alt double-flat 5 / flat–double-flat 6,boundary,,,2621,Euphoric,boundary,,,false,,unprojected_formal_modal_application
M:1149:1311,1149,Alt ♮25♭6,boundary,,,1311,Alt 34♭5,boundary,,,false,,unprojected_formal_modal_application
M:1183:2639,1183,Infra-Alt 5♭7,satellite,D5,Saturn,2639,Alt ♮6734,satellite,D5,Moon,true,modal:D5-satellite:7-10:2:1183:2639,canonical_modal_edge_projected
M:1199:2647,1199,Alt ♭♭3♭♭4♭♭5♭♭6,boundary,,,2647,Bohemian,boundary,,,false,,unprojected_formal_modal_application
M:1207:2651,1207,Alt ♭♭3♭♭5♭♭6,boundary,,,2651,7-25 rooted state 2651,boundary,,,false,,unprojected_formal_modal_application
M:1211:2653,1211,Ceiling Scale,boundary,,,2653,Nomadic,boundary,,,false,,unprojected_formal_modal_application
M:1213:1327,1213,Alt ♮2♭♭5♭6,boundary,,,1327,Lipsean Mode IV,boundary,,,false,,unprojected_formal_modal_application
M:1231:2663,1231,7-Z18 rooted state 1231,boundary,,,2663,7-Z18 rooted state 2663,boundary,,,false,,unprojected_formal_modal_application
M:1239:2667,1239,Alt 𝄫3𝄫6,satellite,A2,Moon,2667,Neapolitan Major ♭5,satellite,A2,Mercury,false,,unprojected_formal_modal_application
M:1243:2669,1243,Alt 6,satellite,A1,Sun,2669,Jeths' Mode,satellite,A1,Mars,false,,unprojected_formal_modal_application
M:1245:1335,1245,Alt ♮26,satellite,A2,Saturn,1335,Elephant Scale,satellite,A2,Moon,false,,unprojected_formal_modal_application
M:1255:2675,1255,Chromatic Mixolydian,satellite,D1,Mars,2675,Chromatic Lydian,satellite,D1,Jupiter,false,,unprojected_formal_modal_application
M:1259:2677,1259,Blues Phrygian,satellite,A0,Saturn,2677,Ionian ♭5,satellite,A0,Moon,false,,unprojected_formal_modal_application
M:1261:1339,1261,Modified Blues,satellite,A1,Venus,1339,Alt ♭♭5,satellite,A1,Sun,false,,unprojected_formal_modal_application
M:1267:2681,1267,7-19 rooted state 1267,boundary,,,2681,Scale 2681,boundary,,,false,,unprojected_formal_modal_application
M:1269:1341,1269,Major Locrian ♭♭6,satellite,A2,Jupiter,1341,Alt ♮2♭♭5,satellite,A2,Saturn,false,,unprojected_formal_modal_application
M:1273:671,1273,Tanarupi V,anchor,D5,Jupiter,671,Infra-Alt 5,anchor,D5,Saturn,true,modal:D5:1273:671,canonical_modal_edge_projected
M:1311:2703,1311,Alt 34♭5,boundary,,,2703,Erratic Minor,boundary,,,false,,unprojected_formal_modal_application
M:1327:2711,1327,Lipsean Mode IV,boundary,,,2711,Erratic,boundary,,,false,,unprojected_formal_modal_application
M:1335:2715,1335,Elephant Scale,satellite,A2,Moon,2715,Neapolitan Major ♭4,satellite,A2,Mercury,false,,unprojected_formal_modal_application
M:1339:2717,1339,Alt ♭♭5,satellite,A1,Sun,2717,Melodic ♭4,satellite,A1,Mars,false,,unprojected_formal_modal_application
M:1341:1359,1341,Alt ♮2♭♭5,satellite,A2,Saturn,1359,"Alt double-flat 3, double-flat 4",satellite,A2,Moon,false,,unprojected_formal_modal_application
M:1359:2727,1359,"Alt double-flat 3, double-flat 4",satellite,A2,Moon,2727,Rāga Manoranjani,satellite,A2,Mercury,false,,unprojected_formal_modal_application
M:1367:2731,1367,Leading Whole-Tone Inverse,anchor,A2,Moon,2731,Neapolitan Major,anchor,A2,Mercury,true,modal:A2:1367:2731,canonical_modal_edge_projected
M:1371:2733,1371,Superlocrian,anchor,A1,Sun,2733,Melodic Minor,anchor,A1,Mars,true,modal:A1:1371:2733,canonical_modal_edge_projected
M:1373:1367,1373,Storian,anchor,A2,Saturn,1367,Leading Whole-Tone Inverse,anchor,A2,Moon,true,modal:A2:1373:1367,canonical_modal_edge_projected
M:1383:2739,1383,Locrian double-flat 3,satellite,A0,Saturn,2739,Rāga Supradhipam,satellite,A0,Moon,false,,unprojected_formal_modal_application
M:1387:2741,1387,Locrian,anchor,A0,Saturn,2741,Ionian,anchor,A0,Moon,true,modal:A0:1387:2741,canonical_modal_edge_projected
M:1389:1371,1389,Half-Diminished,anchor,A1,Venus,1371,Superlocrian,anchor,A1,Sun,true,modal:A1:1389:1371,canonical_modal_edge_projected
M:1395:2745,1395,Locrian Dominant,satellite,A0,Saturn,2745,Rāga Sailadesakshi,satellite,A0,Moon,false,,unprojected_formal_modal_application
M:1397:1373,1397,Major Locrian,anchor,A2,Jupiter,1373,Storian,anchor,A2,Saturn,true,modal:A2:1397:1373,canonical_modal_edge_projected
M:1401:687,1401,Major Locrian ♯2,satellite,A2,Jupiter,687,Alt ♭♭3♭♭4♭♭5♭♭6♭♭7,satellite,A2,Saturn,false,,unprojected_formal_modal_application
M:1423:2759,1423,Alt ♮5♭♭3♭4,boundary,,,2759,Lydian ♭2♭♭3,boundary,,,false,,unprojected_formal_modal_application
M:1431:2763,1431,Astrocyte,satellite,A2,Moon,2763,Rāga Sauviram,satellite,A2,Mercury,false,,unprojected_formal_modal_application
M:1435:2765,1435,Maqam Saba Zamzam,satellite,A0,Venus,2765,Lydian Diminished,satellite,A0,Sun,false,,unprojected_formal_modal_application
M:1437:1383,1437,Sabach,satellite,A0,Jupiter,1383,Locrian double-flat 3,satellite,A0,Saturn,false,,unprojected_formal_modal_application
M:1447:2771,1447,Rāga Phenadyuti,satellite,A0,Venus,2771,Mela Gamanasrama,satellite,A0,Sun,false,,unprojected_formal_modal_application
M:1451:2773,1451,Phrygian,anchor,A0,Venus,2773,Lydian,anchor,A0,Sun,true,modal:A0:1451:2773,canonical_modal_edge_projected
M:1453:1387,1453,Aeolian,anchor,A0,Jupiter,1387,Locrian,anchor,A0,Saturn,true,modal:A0:1453:1387,canonical_modal_edge_projected
M:1459:2777,1459,Phrygian Dominant,satellite,A0,Venus,2777,Aeolian Harmonic,satellite,A0,Sun,false,,unprojected_formal_modal_application
M:1461:1389,1461,Mixolydian ♭6,anchor,A1,Mercury,1389,Half-Diminished,anchor,A1,Venus,true,modal:A1:1461:1389,canonical_modal_edge_projected
M:1465:695,1465,Rāga Cudamani,satellite,A1,Mercury,695,Phrygian Double-Flat,satellite,A1,Venus,false,,unprojected_formal_modal_application
M:1479:2787,1479,Mela Jalarnava,anchor,D2,Venus,2787,Lydian ♭2♯3,anchor,D2,Sun,true,modal:D2:1479:2787,canonical_modal_edge_projected
M:1483:2789,1483,Mela Bhavapriya,satellite,A0,Venus,2789,Lydian ♯3,satellite,A0,Sun,false,,unprojected_formal_modal_application
M:1485:1395,1485,Mela Sanmukhapriya,satellite,A0,Jupiter,1395,Locrian Dominant,satellite,A0,Saturn,false,,unprojected_formal_modal_application
M:1491:2793,1491,Namanarayani,satellite,A2,Mars,2793,1sus4 & 7⁷,satellite,A2,Jupiter,false,,unprojected_formal_modal_application
M:1493:1397,1493,Lydian Minor,anchor,A2,Mars,1397,Major Locrian,anchor,A2,Jupiter,true,modal:A2:1493:1397,canonical_modal_edge_projected
M:1497:699,1497,Jyoti Swarupini,satellite,A2,Mars,699,Ultralocrian 5,satellite,A2,Jupiter,false,,unprojected_formal_modal_application
M:1507:2801,1507,Lydian ♭7♭2♭6♯3,boundary,,,2801,Rāga Hindolita,boundary,,,false,,unprojected_formal_modal_application
M:1509:1401,1509,Lydian Minor ♯3,satellite,A2,Mars,1401,Major Locrian ♯2,satellite,A2,Jupiter,false,,unprojected_formal_modal_application
M:1513:701,1513,Lydian ♭7♭6♯2♯3,boundary,,,701,Alt ♮2♭♭567,boundary,,,false,,unprojected_formal_modal_application
M:1521:351,1521,Lydian 7♭6♯32,boundary,,,351,Infra-Alt 567,boundary,,,false,,unprojected_formal_modal_application
M:1567:2831,1567,7-4 rooted state 1567,boundary,,,2831,7-4 rooted state 2831,boundary,,,false,,unprojected_formal_modal_application
M:1583:2839,1583,Alt ♮6♭♭3♭4♭5,satellite,D3,Moon,2839,Kaikian Mode V,satellite,D3,Mercury,true,modal:D3-satellite:7-11:1:1583:2839,canonical_modal_edge_projected
M:1591:2843,1591,Alt ♮6♭♭3♭5,anchor,D3,Moon,2843,Neapolitan Major ♭4♯5,anchor,D3,Mercury,true,modal:D3:1591:2843,canonical_modal_edge_projected
M:1595:2845,1595,Alt ♮65,satellite,D2,Moon,2845,Melodic +♭4,satellite,D2,Mercury,true,modal:D2-satellite:7-Z38:2:1595:2845,canonical_modal_edge_projected
M:1597:1423,1597,Rāga Ravikosh,boundary,,,1423,Alt ♮5♭♭3♭4,boundary,,,false,,unprojected_formal_modal_application
M:1615:2855,1615,Sydian (Alt ♮6𝄫34),satellite,D4,Mars,2855,Ionian +♭2𝄫3,satellite,D4,Jupiter,true,modal:D4-satellite:7-16:2:1615:2855,canonical_modal_edge_projected
M:1623:2859,1623,Alt ♮63,satellite,A2,Moon,2859,Neapolitan Major ♯5,satellite,A2,Mercury,false,,unprojected_formal_modal_application
M:1627:2861,1627,Superlocrian ♯6,satellite,A1,Sun,2861,Melodic +,satellite,A1,Mars,false,,unprojected_formal_modal_application
M:1629:1431,1629,Dorian Blues,satellite,A2,Saturn,1431,Astrocyte,satellite,A2,Moon,false,,unprojected_formal_modal_application
M:1639:2867,1639,7-21 rooted state 1639,boundary,,,2867,7-21 rooted state 2867,boundary,,,false,,unprojected_formal_modal_application
M:1643:2869,1643,Locrian ♮6,satellite,A0,Saturn,2869,Major Augmented,satellite,A0,Moon,false,,unprojected_formal_modal_application
M:1645:1435,1645,Dorian ♭5,satellite,A0,Mercury,1435,Maqam Saba Zamzam,satellite,A0,Venus,false,,unprojected_formal_modal_application
M:1651:2873,1651,Tsinganikos,anchor,D1,Jupiter,2873,Ionian Augmented ♯2,anchor,D1,Saturn,true,modal:D1:1651:2873,canonical_modal_edge_projected
M:1653:1437,1653,Mixolydian ♭5,satellite,A0,Mars,1437,Sabach,satellite,A0,Jupiter,false,,unprojected_formal_modal_application
M:1657:719,1657,7-19 rooted state 1657,boundary,,,719,1MI & 2Δ7,boundary,,,false,,unprojected_formal_modal_application
M:1679:2887,1679,Zephyrean Mode V,boundary,,,2887,Zephyrean Mode VI,boundary,,,false,,unprojected_formal_modal_application
M:1687:2891,1687,Midlocrian,boundary,,,2891,7-25 rooted state 2891,boundary,,,false,,unprojected_formal_modal_application
M:1691:2893,1691,Dorian ♭2♭4,satellite,A1,Jupiter,2893,Lydian Augmented ♭3,satellite,A1,Saturn,false,,unprojected_formal_modal_application
M:1693:1447,1693,Dorian ♭4,satellite,A0,Mercury,1447,Rāga Phenadyuti,satellite,A0,Venus,false,,unprojected_formal_modal_application
M:1703:2899,1703,Rāga Bhanumati,satellite,A1,Jupiter,2899,Lydian Augmented ♭2,satellite,A1,Saturn,false,,unprojected_formal_modal_application
M:1707:2901,1707,Dorian ♭2,anchor,A1,Jupiter,2901,Lydian Augmented,anchor,A1,Saturn,true,modal:A1:1707:2901,canonical_modal_edge_projected
M:1709:1451,1709,Dorian,anchor,A0,Mercury,1451,Phrygian,anchor,A0,Venus,true,modal:A0:1709:1451,canonical_modal_edge_projected
M:1715:2905,1715,Dominant ♭2,satellite,A0,Mars,2905,Aeolian Flat,satellite,A0,Jupiter,false,,unprojected_formal_modal_application
M:1717:1453,1717,Mixolydian,anchor,A0,Mars,1453,Aeolian,anchor,A0,Jupiter,true,modal:A0:1717:1453,canonical_modal_edge_projected
M:1721:727,1721,Rāga Ganavaridhi,satellite,A0,Mars,727,Triadic Heptatonic 29,satellite,A0,Jupiter,false,,unprojected_formal_modal_application
M:1735:2915,1735,Navaneetam,satellite,D2,Venus,2915,Scale 2915,satellite,D2,Sun,true,modal:D2-satellite:7-Z38:2:1735:2915,canonical_modal_edge_projected
M:1739:2917,1739,Rāga Sthavarajam,satellite,A1,Jupiter,2917,Lydian Augmented ♯3,satellite,A1,Saturn,false,,unprojected_formal_modal_application
M:1741:1459,1741,Dorian ♯4,satellite,A0,Mercury,1459,Phrygian Dominant,satellite,A0,Venus,false,,unprojected_formal_modal_application
M:1747:2921,1747,Lydian 7♭2,satellite,A1,Moon,2921,Lydian Augmented ♯2♯3,satellite,A1,Mercury,false,,unprojected_formal_modal_application
M:1749:1461,1749,Acoustic,anchor,A1,Moon,1461,Mixolydian ♭6,anchor,A1,Mercury,true,modal:A1:1749:1461,canonical_modal_edge_projected
M:1753:731,1753,Hungarian Major,satellite,A1,Moon,731,Alternating Heptamode,satellite,A1,Mercury,false,,unprojected_formal_modal_application
M:1763:2929,1763,Lydian 7♭2♯3,satellite,D2,Sun,2929,Lydian +♯32,satellite,D2,Mars,true,modal:D2-satellite:7-Z38:1:1763:2929,canonical_modal_edge_projected
M:1765:1465,1765,Lydian ♭7♯3,satellite,A1,Moon,1465,Rāga Cudamani,satellite,A1,Mercury,false,,unprojected_formal_modal_application
M:1769:733,1769,Lydian ♭7♯2♯3,boundary,,,733,Superlocrian ♮2♭♭6♭♭7,boundary,,,false,,unprojected_formal_modal_application
M:1777:367,1777,Lydian ♭7♯3𝄪2,boundary,,,367,Infra-Alt 67,boundary,,,false,,unprojected_formal_modal_application
M:1807:2951,1807,7-5 rooted state 1807,boundary,,,2951,7-5 rooted state 2951,boundary,,,false,,unprojected_formal_modal_application
M:1815:2955,1815,Scale 1815,satellite,D4,Jupiter,2955,Neapolitan Maj 𝄪4♯5,satellite,D4,Saturn,true,modal:D4-satellite:7-13:1:1815:2955,canonical_modal_edge_projected
M:1819:2957,1819,Alt ♮6♯5,satellite,D2,Mercury,2957,Melodic +4,satellite,D2,Venus,true,modal:D2-satellite:7-Z38:1:1819:2957,canonical_modal_edge_projected
M:1821:1479,1821,Dorian +♭4,anchor,D2,Mercury,1479,Mela Jalarnava,anchor,D2,Venus,true,modal:D2:1821:1479,canonical_modal_edge_projected
M:1831:2963,1831,Dominant +♭2𝄫3,anchor,D4,Jupiter,2963,Ionian +♭2𝄪4,anchor,D4,Saturn,true,modal:D4:1831:2963,canonical_modal_edge_projected
