pair_id,raise_source_id,raise_source_name,raise_target_id,raise_target_name,inverse_operator_id,field_phase_shift_projected,field_edge_ids,structural_root_phase_projected,structural_edge_ids,projection_status
phase-pair:695:1389,1389,Half-Diminished,695,Phrygian Double-Flat,L1,true,audit:phase:695:1389,true,governs:A1:1389:695:1,phase_field_projected
phase-pair:699:1397,1397,Major Locrian,699,Ultralocrian 5,L1,true,audit:phase:699:1397,true,governs:A2:1397:699:1,phase_field_projected
phase-pair:701:1401,1401,Major Locrian ♯2,701,Alt ♮2♭♭567,L1,true,audit:phase:701:1401,false,,phase_field_projected
phase-pair:719:1437,1437,Sabach,719,1MI & 2Δ7,L1,true,audit:phase:719:1437,false,,phase_field_projected
phase-pair:727:1453,1453,Aeolian,727,Triadic Heptatonic 29,L1,true,audit:phase:727:1453,true,governs:A0:1453:727:1,phase_field_projected
phase-pair:731:1461,1461,Mixolydian ♭6,731,Alternating Heptamode,L1,true,audit:phase:731:1461,true,governs:A1:1461:731:1,phase_field_projected
phase-pair:733:1465,1465,Rāga Cudamani,733,Superlocrian ♮2♭♭6♭♭7,L1,true,audit:phase:733:1465,false,,phase_field_projected
phase-pair:743:1485,1485,Mela Sanmukhapriya,743,Phrygian Hungarian Minor,L1,true,audit:phase:743:1485,false,,phase_field_projected
phase-pair:747:1493,1493,Lydian Minor,747,1sus4 & ♭3∅7,L1,true,audit:phase:747:1493,true,governs:A2:1493:747:1,phase_field_projected
phase-pair:749:1497,1497,Jyoti Swarupini,749,Locrian ♮2♭♭6♭♭7,L1,true,audit:phase:749:1497,false,,phase_field_projected
phase-pair:755:1509,1509,Lydian Minor ♯3,755,Ionian ♭2♭5𝄫6𝄫7,L1,true,audit:phase:755:1509,false,,phase_field_projected
phase-pair:757:1513,1513,Lydian ♭7♭6♯2♯3,757,Lipsean Mode II,L1,true,audit:phase:757:1513,false,,phase_field_projected
phase-pair:761:1521,1521,Lydian 7♭6♯32,761,Major Locrian ♯267,L1,true,audit:phase:761:1521,false,,phase_field_projected
phase-pair:799:1597,1597,Rāga Ravikosh,799,Infra-Alt 5♭6,L1,true,audit:phase:799:1597,false,,phase_field_projected
phase-pair:815:1629,1629,Dorian Blues,815,Scale 815,L1,true,audit:phase:815:1629,false,,phase_field_projected
phase-pair:823:1645,1645,Dorian ♭5,823,Scale 823,L1,true,audit:phase:823:1645,false,,phase_field_projected
phase-pair:827:1653,1653,Mixolydian ♭5,827,Scale 827,L1,true,audit:phase:827:1653,false,,phase_field_projected
phase-pair:829:1657,1657,7-19 rooted state 1657,829,7-Z18 rooted state 829,L1,false,,false,,unprojected_formal_phase_pair
phase-pair:847:1693,1693,Dorian ♭4,847,Scale 847,L1,true,audit:phase:847:1693,false,,phase_field_projected
phase-pair:855:1709,1709,Dorian,855,Ultralocrian 𝄫3,L1,true,audit:phase:855:1709,true,governs:A0:1709:855:1,phase_field_projected
phase-pair:859:1717,1717,Mixolydian,859,Ultralocrian,L1,true,audit:phase:859:1717,true,governs:A0:1717:859:1,phase_field_projected
phase-pair:861:1721,1721,Rāga Ganavaridhi,861,Superlocrian ♮2𝄫7,L1,true,audit:phase:861:1721,false,,phase_field_projected
phase-pair:871:1741,1741,Dorian ♯4,871,Locrian 𝄫3𝄫7,L1,true,audit:phase:871:1741,false,,phase_field_projected
phase-pair:875:1749,1749,Acoustic,875,Locrian double-flat 7,L1,true,audit:phase:875:1749,false,,phase_field_projected
phase-pair:877:1753,1753,Hungarian Major,877,Hungarian Major Inverse,L1,true,audit:phase:877:1753,false,,phase_field_projected
phase-pair:883:1765,1765,Lydian ♭7♯3,883,Scale 883,L1,true,audit:phase:883:1765,false,,phase_field_projected
phase-pair:885:1769,1769,Lydian ♭7♯2♯3,885,Major Locrian 𝄫7,L1,true,audit:phase:885:1769,false,,phase_field_projected
phase-pair:889:1777,1777,Lydian ♭7♯3𝄪2,889,Scale 889,L1,true,audit:phase:889:1777,false,,phase_field_projected
phase-pair:911:1821,1821,Dorian +♭4,911,Phrygian 𝄫3𝄫4𝄫7,L1,true,audit:phase:911:1821,true,governs:D2:1821:911:1,phase_field_projected
phase-pair:919:1837,1837,Dorian Augmented,919,Chromatic Phrygian Inverse,L1,true,audit:phase:919:1837,false,,phase_field_projected
phase-pair:923:1845,1845,Mixolydian Augmented,923,Alt ♮5𝄫7,L1,true,audit:phase:923:1845,false,,phase_field_projected
phase-pair:925:1849,1849,Rāga Dvigandharabushini,925,Chromatic Hypodorian,L1,false,,false,,unprojected_formal_phase_pair
phase-pair:935:1869,1869,Lydian 7+♭3,935,Kanakangi,L1,true,audit:phase:935:1869,false,,phase_field_projected
phase-pair:939:1877,1877,Aeroptian,939,Rāga Malini,L1,true,audit:phase:939:1877,false,,phase_field_projected
phase-pair:941:1881,1881,Lydian 7+♯2,941,Rāga Jhankara Bhramavi,L1,true,audit:phase:941:1881,false,,phase_field_projected
phase-pair:947:1893,1893,Lydian 7+♯3,947,Scale 947,L1,true,audit:phase:947:1893,false,,phase_field_projected
phase-pair:949:1897,1897,Lydian 7+♯23,949,Mararanjani,L1,true,audit:phase:949:1897,false,,phase_field_projected
phase-pair:953:1905,1905,Lydian 7+♯3𝄪2,953,Rāga Kalahamsa,L1,true,audit:phase:953:1905,false,,phase_field_projected
phase-pair:967:1933,1933,Dorian +𝄪4,967,Scale 967,L1,true,audit:phase:967:1933,false,,phase_field_projected
phase-pair:971:1941,1941,Dominant +𝄪4,971,Scale 971,L1,true,audit:phase:971:1941,false,,phase_field_projected
phase-pair:973:1945,1945,7-Z18 rooted state 1945,973,7-19 rooted state 973,L1,false,,false,,unprojected_formal_phase_pair
phase-pair:979:1957,1957,Dominant +♯3𝄪4,979,Scale 979,L1,true,audit:phase:979:1957,false,,phase_field_projected
phase-pair:981:1961,1961,Dominant +♯2♯3𝄪4,981,Mela Kantamani,L1,true,audit:phase:981:1961,false,,phase_field_projected
phase-pair:985:1969,1969,Dominant +♯3𝄪2♭4,985,Scale 985,L1,true,audit:phase:985:1969,false,,phase_field_projected
phase-pair:995:1989,1989,Dominant +34,995,Lydian ♭2♯3♭67,L1,true,audit:phase:995:1989,false,,phase_field_projected
phase-pair:997:1993,1993,Dominant +♯234,997,Tanarupi IV,L1,false,,false,,unprojected_formal_phase_pair
phase-pair:1001:2001,2001,Dominant +234,1001,Lydian ♯2♯3♭67,L1,true,audit:phase:1001:2001,true,seat-contact:D6:2001:1001:1,phase_field_projected
phase-pair:1009:2017,2017,Dominant +34♯2,1009,7-3 rooted state 1009,L1,false,,false,,unprojected_formal_phase_pair
phase-pair:1087:2173,2173,7-4 rooted state 2173,1087,Infra-Alt 5♭76,L1,false,,false,,unprojected_formal_phase_pair
phase-pair:1119:2237,2237,Alt ♮27♭♭56,1119,Infra-Alt 56♭7,L1,true,audit:phase:1119:2237,false,,phase_field_projected
phase-pair:1135:2269,2269,Nomadic Minor,1135,Eurean Mode III,L1,true,audit:phase:1135:2269,true,governs:D3:2269:1135:1,phase_field_projected
phase-pair:1143:2285,2285,Supine,1143,Scale 1143,L1,true,audit:phase:1143:2285,false,,phase_field_projected
phase-pair:1147:2293,2293,Bucolic,1147,Alt double-flat 5 / flat–double-flat 6,L1,true,audit:phase:1147:2293,false,,phase_field_projected
phase-pair:1149:2297,2297,Raghupriya V,1149,Alt ♮25♭6,L1,true,audit:phase:1149:2297,false,,phase_field_projected
phase-pair:1183:2365,2365,Alt ♮27𝄫5,1183,Infra-Alt 5♭7,L1,false,,false,,unprojected_formal_phase_pair
phase-pair:1199:2397,2397,Eccentric,1199,Alt ♭♭3♭♭4♭♭5♭♭6,L1,true,audit:phase:1199:2397,false,,phase_field_projected
phase-pair:1207:2413,2413,Harmonic Minor ♭5,1207,Alt ♭♭3♭♭5♭♭6,L1,true,audit:phase:1207:2413,false,,phase_field_projected
phase-pair:1211:2421,2421,Harmonic Major ♭5,1211,Ceiling Scale,L1,true,audit:phase:1211:2421,false,,phase_field_projected
phase-pair:1213:2425,2425,Scale 2425,1213,Alt ♮2♭♭5♭6,L1,true,audit:phase:1213:2425,false,,phase_field_projected
phase-pair:1231:2461,2461,7-21 rooted state 2461,1231,7-Z18 rooted state 1231,L1,false,,false,,unprojected_formal_phase_pair
phase-pair:1239:2477,2477,Harmonic Minor,1239,Alt 𝄫3𝄫6,L1,true,audit:phase:1239:2477,false,,phase_field_projected
phase-pair:1243:2485,2485,Harmonic Major,1243,Alt 6,L1,true,audit:phase:1243:2485,false,,phase_field_projected
phase-pair:1245:2489,2489,Scale 2489,1245,Alt ♮26,L1,true,audit:phase:1245:2489,false,,phase_field_projected
phase-pair:1255:2509,2509,Double Harmonic Minor,1255,Chromatic Mixolydian,L1,false,,true,governs:D1:2509:1255:1,structural_only
phase-pair:1259:2517,2517,Lydian Harmonic Major,1259,Blues Phrygian,L1,true,audit:phase:1259:2517,false,,phase_field_projected
phase-pair:1261:2521,2521,Scale 2521,1261,Modified Blues,L1,true,audit:phase:1261:2521,false,,phase_field_projected
phase-pair:1267:2533,2533,7-19 rooted state 2533,1267,7-19 rooted state 1267,L1,false,,false,,unprojected_formal_phase_pair
phase-pair:1269:2537,2537,Scale 2537,1269,Major Locrian ♭♭6,L1,true,audit:phase:1269:2537,false,,phase_field_projected
phase-pair:1273:2545,2545,Lydian 2♯3♭6,1273,Tanarupi V,L1,false,,false,,unprojected_formal_phase_pair
phase-pair:1311:2621,2621,Euphoric,1311,Alt 34♭5,L1,true,audit:phase:1311:2621,false,,phase_field_projected
phase-pair:1327:2653,2653,Nomadic,1327,Lipsean Mode IV,L1,true,audit:phase:1327:2653,false,,phase_field_projected
phase-pair:1335:2669,2669,Jeths' Mode,1335,Elephant Scale,L1,true,audit:phase:1335:2669,false,,phase_field_projected
phase-pair:1339:2677,2677,Ionian ♭5,1339,Alt ♭♭5,L1,true,audit:phase:1339:2677,false,,phase_field_projected
phase-pair:1341:2681,2681,Scale 2681,1341,Alt ♮2♭♭5,L1,true,audit:phase:1341:2681,false,,phase_field_projected
phase-pair:1359:2717,2717,Melodic ♭4,1359,"Alt double-flat 3, double-flat 4",L1,true,audit:phase:1359:2717,false,,phase_field_projected
phase-pair:1367:2733,2733,Melodic Minor,1367,Leading Whole-Tone Inverse,L1,true,audit:phase:1367:2733,true,constructs:A1:2733:1367:1,phase_field_projected
phase-pair:1371:2741,2741,Ionian,1371,Superlocrian,L1,true,audit:phase:1371:2741,true,constructs:A0:2741:1371:1,phase_field_projected
phase-pair:1373:2745,2745,Rāga Sailadesakshi,1373,Storian,L1,true,audit:phase:1373:2745,false,,phase_field_projected
phase-pair:1383:2765,2765,Lydian Diminished,1383,Locrian double-flat 3,L1,true,audit:phase:1383:2765,false,,phase_field_projected
phase-pair:1387:2773,2773,Lydian,1387,Locrian,L1,true,audit:phase:1387:2773,false,,phase_field_projected
phase-pair:1389:2777,2777,Aeolian Harmonic,1389,Half-Diminished,L1,true,audit:phase:1389:2777,false,,phase_field_projected
phase-pair:1395:2789,2789,Lydian ♯3,1395,Locrian Dominant,L1,true,audit:phase:1395:2789,false,,phase_field_projected
phase-pair:1397:2793,2793,1sus4 & 7⁷,1397,Major Locrian,L1,true,audit:phase:1397:2793,false,,phase_field_projected
phase-pair:1401:2801,2801,Rāga Hindolita,1401,Major Locrian ♯2,L1,true,audit:phase:1401:2801,false,,phase_field_projected
phase-pair:1423:2845,2845,Melodic +♭4,1423,Alt ♮5♭♭3♭4,L1,true,audit:phase:1423:2845,false,,phase_field_projected
phase-pair:1431:2861,2861,Melodic +,1431,Astrocyte,L1,true,audit:phase:1431:2861,false,,phase_field_projected
phase-pair:1435:2869,2869,Major Augmented,1435,Maqam Saba Zamzam,L1,true,audit:phase:1435:2869,false,,phase_field_projected
phase-pair:1437:2873,2873,Ionian Augmented ♯2,1437,Sabach,L1,true,audit:phase:1437:2873,true,seat-contact:D1:2873:1437:1,phase_field_projected
phase-pair:1447:2893,2893,Lydian Augmented ♭3,1447,Rāga Phenadyuti,L1,true,audit:phase:1447:2893,false,,phase_field_projected
phase-pair:1451:2901,2901,Lydian Augmented,1451,Phrygian,L1,true,audit:phase:1451:2901,false,,phase_field_projected
phase-pair:1453:2905,2905,Aeolian Flat,1453,Aeolian,L1,true,audit:phase:1453:2905,false,,phase_field_projected
phase-pair:1459:2917,2917,Lydian Augmented ♯3,1459,Phrygian Dominant,L1,true,audit:phase:1459:2917,false,,phase_field_projected
phase-pair:1461:2921,2921,Lydian Augmented ♯2♯3,1461,Mixolydian ♭6,L1,true,audit:phase:1461:2921,false,,phase_field_projected
phase-pair:1465:2929,2929,Lydian +♯32,1465,Rāga Cudamani,L1,true,audit:phase:1465:2929,false,,phase_field_projected
phase-pair:1479:2957,2957,Melodic +4,1479,Mela Jalarnava,L1,true,audit:phase:1479:2957,false,,phase_field_projected
phase-pair:1483:2965,2965,Ionian +𝄪4,1483,Mela Bhavapriya,L1,true,audit:phase:1483:2965,false,,phase_field_projected
phase-pair:1485:2969,2969,Scale 2969,1485,Mela Sanmukhapriya,L1,true,audit:phase:1485:2969,false,,phase_field_projected
phase-pair:1491:2981,2981,Noh,1491,Namanarayani,L1,true,audit:phase:1491:2981,false,,phase_field_projected
phase-pair:1493:2985,2985,Ionian +♯23𝄪4,1493,Lydian Minor,L1,true,audit:phase:1493:2985,false,,phase_field_projected
phase-pair:1497:2993,2993,Ionian +♯324,1497,Jyoti Swarupini,L1,true,audit:phase:1497:2993,true,seat-contact:D3:2993:1497:1,phase_field_projected
phase-pair:1507:3013,3013,Ionian +𝄪34,1507,Lydian ♭7♭2♭6♯3,L1,true,audit:phase:1507:3013,false,,phase_field_projected
phase-pair:1509:3017,3017,Scale 3017,1509,Lydian Minor ♯3,L1,true,audit:phase:1509:3017,false,,phase_field_projected
phase-pair:1513:3025,3025,Ionian +𝄪234,1513,Lydian ♭7♭6♯2♯3,L1,true,audit:phase:1513:3025,false,,phase_field_projected
phase-pair:1521:3041,3041,Scale 3041,1521,Lydian 7♭6♯32,L1,true,audit:phase:1521:3041,false,,phase_field_projected
phase-pair:1567:3133,3133,7-5 rooted state 3133,1567,7-4 rooted state 1567,L1,false,,false,,unprojected_formal_phase_pair
phase-pair:1583:3165,3165,Scale 3165,1583,Alt ♮6♭♭3♭4♭5,L1,true,audit:phase:1583:3165,false,,phase_field_projected
phase-pair:1591:3181,3181,Melodic ♭5♯6,1591,Alt ♮6♭♭3♭5,L1,true,audit:phase:1591:3181,false,,phase_field_projected
phase-pair:1595:3189,3189,Ionian ♭5♯6,1595,Alt ♮65,L1,true,audit:phase:1595:3189,true,governs:D2:3189:1595:1,phase_field_projected
phase-pair:1597:3193,3193,Scale 3193,1597,Rāga Ravikosh,L1,true,audit:phase:1597:3193,false,,phase_field_projected
phase-pair:1615:3229,3229,Varunapriya ♭4,1615,Sydian (Alt ♮6𝄫34),L1,false,,true,governs:D4:3229:1615:1,structural_only
phase-pair:1623:3245,3245,Rāga Daulati,1623,Alt ♮63,L1,true,audit:phase:1623:3245,false,,phase_field_projected
phase-pair:1627:3253,3253,Mela Naganandini,1627,Superlocrian ♯6,L1,true,audit:phase:1627:3253,false,,phase_field_projected
phase-pair:1629:3257,3257,Rāga Madhuranjani,1629,Dorian Blues,L1,true,audit:phase:1629:3257,false,,phase_field_projected
phase-pair:1639:3277,3277,7-21 rooted state 3277,1639,7-21 rooted state 1639,L1,false,,false,,unprojected_formal_phase_pair
phase-pair:1643:3285,3285,Mela Citrambari,1643,Locrian ♮6,L1,true,audit:phase:1643:3285,false,,phase_field_projected
phase-pair:1645:3289,3289,Rasikapriya,1645,Dorian ♭5,L1,true,audit:phase:1645:3289,true,seat-contact:D1:3289:1645:1,phase_field_projected
phase-pair:1651:3301,3301,Rāga Loom Sarang,1651,Tsinganikos,L1,false,,false,,unprojected_formal_phase_pair
phase-pair:1653:3305,3305,Chromatic Hypophrygian,1653,Mixolydian ♭5,L1,true,audit:phase:1653:3305,false,,phase_field_projected
phase-pair:1657:3313,3313,Scale 3313,1657,7-19 rooted state 1657,L1,false,,false,,unprojected_formal_phase_pair
phase-pair:1679:3357,3357,Scale 3357,1679,Zephyrean Mode V,L1,true,audit:phase:1679:3357,false,,phase_field_projected
phase-pair:1687:3373,3373,Melodic +♯6,1687,Midlocrian,L1,true,audit:phase:1687:3373,false,,phase_field_projected
phase-pair:1691:3381,3381,Ionian +♯6,1691,Dorian ♭2♭4,L1,true,audit:phase:1691:3381,false,,phase_field_projected
phase-pair:1693:3385,3385,Chromatic Phrygian,1693,Dorian ♭4,L1,true,audit:phase:1693:3385,false,,phase_field_projected
phase-pair:1703:3405,3405,Phrygian +♮2,1703,Rāga Bhanumati,L1,true,audit:phase:1703:3405,false,,phase_field_projected
phase-pair:1707:3413,3413,Leading Whole-Tone,1707,Dorian ♭2,L1,true,audit:phase:1707:3413,false,,phase_field_projected
phase-pair:1709:3417,3417,Lydian +♯26,1709,Dorian,L1,true,audit:phase:1709:3417,false,,phase_field_projected
phase-pair:1715:3429,3429,Lydian +♯36,1715,Dominant ♭2,L1,true,audit:phase:1715:3429,false,,phase_field_projected
phase-pair:1717:3433,3433,Superlydian Augmented,1717,Mixolydian,L1,true,audit:phase:1717:3433,false,,phase_field_projected
phase-pair:1721:3441,3441,Superlydian Augmented ♯2,1721,Rāga Ganavaridhi,L1,true,audit:phase:1721:3441,true,seat-contact:D2:3441:1721:1,phase_field_projected
phase-pair:1735:3469,3469,Melodic +♯6𝄪4,1735,Navaneetam,L1,true,audit:phase:1735:3469,true,seat-contact:D3:3469:1735:1,phase_field_projected
phase-pair:1739:3477,3477,Ionian +♯64,1739,Rāga Sthavarajam,L1,true,audit:phase:1739:3477,false,,phase_field_projected
phase-pair:1741:3481,3481,Scale 3481,1741,Dorian ♯4,L1,true,audit:phase:1741:3481,false,,phase_field_projected
phase-pair:1747:3493,3493,Ionian +♯3♯6𝄪4,1747,Lydian 7♭2,L1,true,audit:phase:1747:3493,false,,phase_field_projected
phase-pair:1749:3497,3497,Superlydian Augmented 𝄪4,1749,Acoustic,L1,true,audit:phase:1749:3497,false,,phase_field_projected
phase-pair:1753:3505,3505,Superlydian Augmented 24,1753,Hungarian Major,L1,true,audit:phase:1753:3505,false,,phase_field_projected
phase-pair:1763:3525,3525,Scale 3525,1763,Lydian 7♭2♯3,L1,true,audit:phase:1763:3525,false,,phase_field_projected
phase-pair:1765:3529,3529,Superlydian Augmented 𝄪3𝄪4,1765,Lydian ♭7♯3,L1,true,audit:phase:1765:3529,true,seat-contact:D4:3529:1765:1,phase_field_projected
phase-pair:1769:3537,3537,Scale 3537,1769,Lydian ♭7♯2♯3,L1,true,audit:phase:1769:3537,false,,phase_field_projected
phase-pair:1777:3553,3553,Scale 3553,1777,Lydian ♭7♯3𝄪2,L1,true,audit:phase:1777:3553,false,,phase_field_projected
phase-pair:1807:3613,3613,7-5 rooted state 3613,1807,7-5 rooted state 1807,L1,false,,false,,unprojected_formal_phase_pair
phase-pair:1815:3629,3629,Melodic 𝄪5♯6,1815,Scale 1815,L1,true,audit:phase:1815:3629,false,,phase_field_projected
phase-pair:1819:3637,3637,Rāga Rageshri,1819,Alt ♮6♯5,L1,true,audit:phase:1819:3637,false,,phase_field_projected
phase-pair:1821:3641,3641,Ionian ♯2𝄪5♯6,1821,Dorian +♭4,L1,true,audit:phase:1821:3641,false,,phase_field_projected
phase-pair:1831:3661,3661,Melodic ♯4𝄪5♯6,1831,Dominant +♭2𝄫3,L1,false,,false,,unprojected_formal_phase_pair
phase-pair:1835:3669,3669,Ionian ♯4𝄪5♯6,1835,Dorian +♭2,L1,true,audit:phase:1835:3669,false,,phase_field_projected
phase-pair:1837:3673,3673,Scale 3673,1837,Dorian Augmented,L1,true,audit:phase:1837:3673,false,,phase_field_projected
phase-pair:1843:3685,3685,7-Z18 rooted state 3685,1843,7-21 rooted state 1843,L1,false,,false,,unprojected_formal_phase_pair
phase-pair:1845:3689,3689,Scale 3689,1845,Mixolydian Augmented,L1,true,audit:phase:1845:3689,false,,phase_field_projected
phase-pair:1849:3697,3697,Scale 3697,1849,Rāga Dvigandharabushini,L1,false,,false,,unprojected_formal_phase_pair
phase-pair:1863:3725,3725,Eurean Mode VI,1863,Scale 1863,L1,true,audit:phase:1863:3725,false,,phase_field_projected
phase-pair:1867:3733,3733,Ionian 𝄪4𝄪5♯6,1867,Lydian 7+♭23,L1,true,audit:phase:1867:3733,false,,phase_field_projected
phase-pair:1869:3737,3737,Scale 3737,1869,Lydian 7+♭3,L1,true,audit:phase:1869:3737,false,,phase_field_projected
phase-pair:1875:3749,3749,Rāga Sorati,1875,Persichetti,L1,true,audit:phase:1875:3749,false,,phase_field_projected
phase-pair:1877:3753,3753,Superaugmented ♯3𝄪4𝄪5,1877,Aeroptian,L1,true,audit:phase:1877:3753,false,,phase_field_projected
phase-pair:1881:3761,3761,Rāga Madhuri,1881,Lydian 7+♯2,L1,true,audit:phase:1881:3761,false,,phase_field_projected
phase-pair:1891:3781,3781,Kaikian Mode VII,1891,Hijaz Major,L1,true,audit:phase:1891:3781,false,,phase_field_projected
phase-pair:1893:3785,3785,Scale 3785,1893,Lydian 7+♯3,L1,true,audit:phase:1893:3785,false,,phase_field_projected
phase-pair:1897:3793,3793,Superlydian Augmented 𝄪2𝄪3𝄪4𝄪5,1897,Lydian 7+♯23,L1,true,audit:phase:1897:3793,false,,phase_field_projected
phase-pair:1905:3809,3809,Borean Mode I,1905,Lydian 7+♯3𝄪2,L1,true,audit:phase:1905:3809,false,,phase_field_projected
phase-pair:1927:3853,3853,7-4 rooted state 3853,1927,7-5 rooted state 1927,L1,false,,false,,unprojected_formal_phase_pair
phase-pair:1931:3861,3861,Ionian ♯45♯6,1931,Dorian +♭2𝄪4,L1,true,audit:phase:1931:3861,false,,phase_field_projected
phase-pair:1933:3865,3865,Ionian ♯2♯45♯6,1933,Dorian +𝄪4,L1,true,audit:phase:1933:3865,false,,phase_field_projected
phase-pair:1939:3877,3877,Ionian ♯3♯45♯6,1939,Dominant +♭2𝄪4,L1,false,,false,,unprojected_formal_phase_pair
phase-pair:1941:3881,3881,Tanarupi III,1941,Dominant +𝄪4,L1,true,audit:phase:1941:3881,true,seat-contact:D5:3881:1941:1,phase_field_projected
phase-pair:1945:3889,3889,Raghupriya III,1945,7-Z18 rooted state 1945,L1,false,,false,,unprojected_formal_phase_pair
phase-pair:1955:3909,3909,Superlydian Augmented ♮235♯4,1955,Dominant +♭2♯3𝄪4,L1,true,audit:phase:1955:3909,true,seat-contact:D6:3909:1955:1,phase_field_projected
phase-pair:1957:3913,3913,Bonian,1957,Dominant +♯3𝄪4,L1,true,audit:phase:1957:3913,false,,phase_field_projected
phase-pair:1961:3921,3921,Superlydian Augmented 23♯45,1961,Dominant +♯2♯3𝄪4,L1,true,audit:phase:1961:3921,false,,phase_field_projected
